Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Paperboy II,Paperboy 2,paperboy2,USA,1993-06,Manley & Associates,Tengen,#players:1 #genre:action #port:commodore>amiga #lang:en,16899b0262f77cbbdf3dae252ec7fe29,2fa97c21bfd9d3968c473b6fa4fb7485b6dfb35d,1d62770355102563e28d7a546b3cba7f7ddb8d61293f8bcefe83d0c9b80acd7b,5b4f54735129e6178d86d73991ca4321a54b1553b10a0c4c19e56abee30ef9039d31a5103944e60c63943dec625145a54033aa168d2805be02d3d892d6e28cf2
Pete Sampras Tennis,Pete Sampras Tennis,petesamprastennis,USA,1994-11,Big Red,Codemasters,#players:2:vs #genre:sports>tennis #addon:link>taisencable #search:keyword>endorsed #lang:en,8a033a243a35fef96e6ea99584fe1755,ab9b4c833207824efb14b712b4ec82721c8436bc,3fa10454535274c67f702ddc9c47f587f6895996fa35dedaaad97b7ffe2e10bc,6a102feb932f8f4ef5b7b04b283c8bf78fcb27d23b6d76806c4f335f7366c7b924bd6fee651629d8499bdbf866bf83ca409ac4ebdb8ac8811e339ae8e12840b2
PGA Tour Golf,PGA Tour Golf,pgatourgolf,USA,1993,Polygames,Tengen,#players:4:vs #genre:sports>golf #search:keyword>official #lang:en,41350f8efdcb619d409090e7db66ac70,34a2b521c4577e4d1699311365722745d62f10aa,bce06e4fccf87e8017ec9e58bf793326b557820d0ed58d60c85ca25417447259,7b9fb8e3903d8a911e170360dbbaa81ad9b09884a6efad0d29c73f9e044ea4ddff7590834c8cbe7bb2e6f71834a4cca085ff9da1841e3e902ac17a275beac246
PGA Tour Golf,PGA Tour Golf,pgatourgolf,USA,,Polygames,Tengen,#players:4:vs #genre:sports>golf #search:keyword>official #lang:en #rev:1,f8b93a57b35353fed3d5e5151e520609,cddc04025a10e4351a4c63d118a74bc8b7d2b257,3185e399398c6f3ec533aade3f3a8e90602841d8b3d454055bcf23c924020f1f,bd945ce09602f095d4b52853cb4f09f66bd1b5d61f85c6a865eabbd341b0bb3247503a5384d4c20e621e59728ad089895382010229554e83157e040d1cd44d44
PGA Tour Golf II,PGA Tour Golf II,pgatourgolf2,USA,1994-11,Polygames,Time Warner,#players:4:vs #genre:sports>golf #search:keyword>official #lang:en,4efd19d797aaa235a397b286debb7a5a,871b94f1ff63e2a89bc165382110d4f79df53fa3,ad0244fde4b00a7157605edb25a1f0ae03a2fac6c0c37b52fc5335f52357ebf4,521cbd6a4d24aafb35aa83da4bee43f81028e71153a407fa293d30404f836d62c67d77d043b731031cbe582cb2752f943faa20eb364078b217b745b52502dd73
PGA Tour 96,PGA Tour 96,pgatour96,USA,1995,Ceris,Black Pearl,#players:4:vs #genre:sports>golf #search:keyword>official #lang:en,ea4a78f2d68e63d129598a225c02684b,dc71616c742f23979c5eb27aafa27961170e0ae8,e76007b186d4db0727917cb0d995145c2b90af72114413a9808433a1893be12d,4106c2ef1584cf022c83d73d64b00d974d54f9e3f5f5a139847a7eaad4a81d8c6563cda2af3e5bfbe75c4b49312c572f115ea1c57a0b49d6012164f0f7266645
Phantom 2040,Phantom 2040,phantom2040,USA,1995-10,Unexpected Development,Viacom New Media,#players:1 #genre:action>platformer:shmup>v #save:password #based #lang:en,28f08375a5cdb864564c7d5a3207d0f3,0e054455d99b6d1732abbe9d0ca1b25825b70b87,c2ae00496c6c44e2200cddd44bfd6752ae7986128e26c7c00304e7f53bf6c476,42522886c5e2f5680b3e0492bd861c55505818d7171ed35d23133882f0787ae8c283b872b43b53504936a9ae76cbc2a423752869f95b3a5c80148f36c5379e7b
Pinball Dreams,Pinball Dreams,pinballdreams,USA,1994-04,Spidersoft,GameTek,#players:1 #genre:parlor>pinball #port:commodore>amiga #lang:en,d3e43d2779b93393d7d1d4485a1907aa,1734288c1ca2d83b28b5e266998fbbba76f665f6,230d87ca97840e37bab78230bd60ca7923974dcf2febaa9c02c5c61166fe9007,c706ed96c8b1b56bc3745af797ffe30092db3c312e5cebd6622c5f69da2bb29b6c7ce4b3fe77ad284fab63e36329df342b4ff622f9b6d7aeff21af06b78d4f00
Poker Face Paul's Blackjack,Poker Face Paul's Blackjack,pokerfacepaulsblackjack,USA,1994-03,Spidersoft,Adrenalin,#players:1 #genre:board>cards #lang:en,1148f0cbddb95b61a9e3366649ceccd0,010560dee1eafae3266eb9720e2f802c0deccf40,09eb28b4deac2c5698a0e1ae6935ae2cc17a8d63d7ff117bb6bb6190ad52b65f,dec92cddd548ab453685d109749fe93d2c575383d89454017254f9562ca5b43d2aed32da422c8a91bb3e8192c051813d0cdb0a3efc60bbf2a8560ffea46e1f83
Poker Face Paul's Gin,Poker Face Paul's Gin,pokerfacepaulsgin,USA,1994-03,Spidersoft/Freestyle,Adrenalin,#players:1 #genre:board>cards #lang:en,c2c37127003087a7c5eebd63dce219c6,e21d29b2864b6eed3a4eb4dcf7443f1114e92bd4,c72872e3d5622c16b7bb23614edc771e864aa1e588dc9968a528a4427250041f,d3f8ce9c4e64296d5f8bcd3e5af2ef64d1b2b452ce160994a75ea1422afb9ff3f2e62faf4da6ecaf40da7a03d126106198ec48b3bf039e016b9d3cc7b9f979b4
Poker Face Paul's Poker,Poker Face Paul's Poker,pokerfacepaulspoker,USA,1994-03,Spidersoft/Freestyle,Adrenalin,#players:1 #genre:board>cards #lang:en,6b8c35bfe5ca0b83d529be9012c6bc3a,c21b3a14bd560261c01eccb413b27fecf231495b,b296b8798a8d78eed5aa39b29ec38d5f547ae714777702ce6e4f876914a92016,f8f21f5cde089667db58d46d6449d656dec8e8008cd4b8e086346e5671227485c69b355702120c24ac29ad0dd62bc1b54ec08ebd31262f7e44ae94b984067eeb
Poker Face Paul's Solitaire,Poker Face Paul's Solitaire,pokerfacepaulssolitaire,USA,1994,Spidersoft,Adrenalin,#players:1 #genre:board>cards #lang:en,42a994671913ebab1dec1fc68494dbb3,141b53c7f85b50626c6619094f4f8f7bec3676d2,18a56cec2fdb102ebb9fb96bd73680c1aba554f003b7640638754f31d479982b,babbe4d391aa89142e0b5816493c81b1bc391bdd0fc52fd3af5024fa1359267225dc8dfebc174c97ff4a85b1931b9e611398cb4b437955babf4f14518b4d021b
Predator 2,Predator 2,predator2,USA,1992-12,Teeny Weeny,Arena,#players:1 #genre:action>runandgun #save:password #based:movie #lang:en,886649dc63aca898ce30a32348192cd5,76464809826a0ceed7cfd68a8fe5e06c06bd96fc,6ebae288656b12612ded3aceda7bd24844341cd536bdaf767b61e4e8911bb369,60fc53d73186666be6ce8396352fbb0a66cd64557bd0e2601a383ba9987432a7df5b2477a38cf2c65b4dea1fed639b29a024581b1f5e5505be4bcb296e643e37
Primal Rage,Primal Rage,primalrage,USA,1995-08-25,Probe,Time Warner,#players:2:vs #genre:fighting #addon:link>taisencable #port:arcade #lang:en,1ce6a2d5b50098cbcc9f166f2cc44fba,6d193840463722ed141ed503c2cfc7ae0077ce35,08d0bd61596c5057817857464e2a973b26b2d5197e2e4154907a3a2b13ba8495,4bc539da6e7047113b19c4048ae9d4c8a2fc3558abd75212a0ef405527d478d40bac95b66bc55c235c6c96431d9256661c8be69260b6552ebd5a116294ecb8c2
Prince of Persia,Prince of Persia,princeofpersia,USA,1992-09,The Kremlin/Krisalis,Tengen,#players:1 #genre:action #save:password #port:apple>apple2 #lang:en,0d636c8d86dafd4f2c337e34e94b1e41,7820699ee6b214f3f02f724f4d7891184caf93f8,54a9657e6c489ce03b8e9ceb0096152c211b356398541b84c2480ea3297f7fc2,823f18c84e934633bd22ed071236604e0c98d5c9fbd5dd5983742f0537405a9b14695c85486e094a95604542a8f2103982b4ba54a61aaf9ca4115e679056a5ec
Psychic World,Psychic World,psychicworld,USA,1991-04-26,Sanritsu,SEGA,#players:1 #genre:action>platformer:action>runandgun #port:msx #lang:en,52cfddc12af6a3a64030f62ccf6aca83,3be13f79eeb26b82343afab3e740b3a1d35978eb,2b5791d2ffb91d82cb43985ebaad9bf130a4ebd8ffce3e4bf897d070e5bf45ab,565037a0aa0675ab4002fd62a7f64a1304962bd315e4b6e60eed5eb82ec4f1e619695a280674a3a5e503dddcfc5126444d92d294ed511f631038bddf10feb114
