Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Castlevania,=,Castlevania,=,akumajoudracula,USA,1987-04,Konami,Konami,#input:joystick>8:buttons>2 #players:1 #genre:action>platformer #arcadeboard:nintendo>pc10 #search:franchise>castlevania:feature>dracula #port:nintendo>famicom #lang:en #mameparent #mamerom:pc_cvnia,ec3b7f388aff56b2e1d3d4d78dbec882,27f7e3827493a6d617ee034be89c19402d2975a5,8fb49ec57945551be70628dda0a42e244ddcf2d5f0fc4fc7a45cf597703b73d1,4298ffbceefbbf0f8cc65412404ad2e667e90be4ba0c959756f38d39cf3f42d7ef2a9f53323b74ba30868f1a50d3402e0e1e2aada8909e9d0fead28d637f5cb2
Chip 'n Dale: Rescue Rangers,Disney's Chip 'n Dale: Rescue Rangers,Chip 'n Dale: Rescue Rangers,Disney's Chip 'n Dale: Rescue Rangers,chipndalerescuerangers,USA,1990,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #players:2:coop #genre:action>platformer #arcadeboard:nintendo>pc10 #port:nintendo>famicom #based:disney #lang:en #mameparent #mamerom:pc_rrngr,1e75f5d8af7cc497ce5204916e27b50b,99cfd475d71581b4c7b8efe01da31dcf28bbda15,005e2bb8ad17510eb8a2e2b986ac09fce01d53e81cea4352980f8ac13c54376f,7172ad379a1f7055589c1de1c1261868e4390c926959805ef43921a4b5b255ba153422e19a512fddd25af67a556682557f061d9574909f6ecfba204930c9b5d2
Clu Clu Land,=,VS. Clu Clu Land,VS.クルクルランド,clucluland,Japan,1984-12-07,Nintendo,Nintendo,#input:joystick>8:buttons>2 #players:2:vs #genre:action>maze:puzzle #arcadeboard:nintendo>vssystem #port:nintendo>famicom #lang:en #mameparent #mamerom:cluclu,5ec1c99b81e61e2749f7c78f6a27c2b0,f9d8c7eac6612cb7f82264679535416cbf5ba1db,9461adcd51f2531ab8ab3be373679e4e75ff5118219e36a185dd21bb3b4deb71,1513d4ba2ec4d309c95e5cb8a9daece8390b6a1b9eb0c86f7b61aa463865884fb89ad5c551706a950b8a80b843f2f547570169d59bec319bab7241f77f533f68
Computer Othello,コンピュータオセロ,Computer Othello,コンピュータオセロ,computerothello,Japan,1978,Nintendo,Nintendo,#input:buttons>9 #players:2:alt #genre:board>othello #arcadeboard:nintendo #lang:ja #mameparent #mamerom:cothello,1087686e8aaeca52213523681b0bb00f,c3e6ecb4af21ae2539e875ab5a5d758fb286ab3a,139652d4b4df4c0cf6d545f843cfc8db803e1083dc08a6d39d2b3bcf9a16ca94,baded016795edb3ffa69fb210b790591b378d4c07da0cf95a432b9cb32c2d0e096cf4c610ea1ed975252f4f069961637bdd3f0e9bb2501990560cf979fb12517
Contra,=,Contra,=,contra,USA,1988,Konami,Konami,#players:2:coop #genre:action>runandgun #arcadeboard:nintendo>pc10 #port:arcade:nintendo>famicom #lang:en #mameparent #mamerom:pc_cntra,76fbfa14d6c3e983adc92ed5f350d197,b856c7dc284a2e7fa1d540cc59f1da9d27dcbf93,c4325e05a58c9142c5ccb71db997063923026d30ba4da5c74161a2f2fcbe548c,aea16ad17f6041ccd6df490f68c9d23d63258e964a50482cd5579a7983294a5e74d40974c5a9b20d17fde69b1afd3fe4399320a10912a6461b83676f11024ec5
Contra III: The Alien Wars,=,Contra III: The Alien Wars,=,contraspirits,USA,1992,Konami,Konami,#input:joystick>8:buttons>6 #players:2:coop #genre:action>runandgun #arcadeboard:nintendo>nss #port:nintendo>superfamicom #lang:en #mameparent #mamerom:nss_con3,3c18cd649de8ef12582b7adcbee41e0c,d5ca8185101a6ff592bfeae1b7bac9131dc4bb61,de3b53a9ef029083df578f83124ea490d761a7efdc6e8d90fc042e6059a5b98c,80ea3dc9c207e4891c2bd31fc8e9d6ffb8d316eea689ccedf8d8e96672909156a7e0d1433cc0f76ae2274df1b512fd95514bdde421d23f3eee0361ba04bebc95
David Crane's Amazing Tennis,=,David Crane's Amazing Tennis,=,davidcranesamazingtennis,USA,1992,Absolute,Absolute,#input:joystick>8:buttons>6 #players:2:vs #genre:sports>tennis #arcadeboard:nintendo>nss #port:nintendo>superfamicom #lang:en #mameparent #mamerom:nss_aten,a1d00bb72c2f0e57e131ceeafe7926d4,e500c1482d8aa0b9fbe9be514b4bf96a93725c10,c5ad65140ca5e72ab6928f17cb82a57dda64c663da21045a7367c760571df974,6e8235ccaf4ef5fbbd9a290e323b207e7b407b7d7369d35b5de392ce84fe9073c5dd13fac6cbeec2c209f0a889865468e5729b8e80532762b85d0ffb8240bcb2
Donkey Kong,=,Donkey Kong,=,donkeykong,Japan,1981-07-07,Nintendo/Ikegami,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #set:1 #mamerom:dkong>dkongj,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong,=,Donkey Kong,=,donkeykong,Japan,1981,Nintendo/Ikegami,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #set:2 #mamerom:dkong>dkongjo,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong,=,Donkey Kong,=,donkeykong,Japan,1981,Nintendo/Ikegami,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #set:3 #mamerom:dkong>dkongj1,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong,=,Donkey Kong,=,donkeykong,USA,1981-10,Nintendo/Ikegami,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #mameparent #mamerom:dkong,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong,=,Donkey Kong,=,donkeykong,USA,1981,Nintendo/Ikegami,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #mamerom:dkong>dkongo,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong (Hard Kit),=,(Donkey Kong: Hard Kit),=,donkeykong,USA,1981,Nintendo/Ikegami,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #mamerom:dkong>dkonghrd,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
(Donkey Kong Foundry),Jeff's Arcade Donkey Kong,(Donkey Kong Foundry),=,donkeykong,World,,Nintendo/Ikegami/Jeff Kulczycki,Jeff Kulczycki,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #mamerom:dkong>dkongf,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong (High Score Kit),=,(Donkey Kong: High Score Kit),=,donkeykong,World,,Nintendo/Ikegamii,Braze,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #mamerom:dkong>dkonghs,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong II: Jumpman Returns,=,(Donkey Kong II: Jumpman Returns),=,donkeykong,World,,Nintendo/Ikegami/Jeff Kulczycki,Jeff Kulczycki,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #mamerom:dkong>dkongx11,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong II: Jumpman Returns,=,(Donkey Kong II: Jumpman Returns),=,donkeykong,World,,Nintendo/Ikegami/Jeff Kulczycki,Jeff Kulczycki,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #rev:1 #mamerom:dkong>dkongx,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong (Pauline Edition),=,(Donkey Kong: Pauline Edition),=,donkeykong,World,2013-04-22,Nintendo/Ikegami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #rev:5 #mamerom:dkong>dkongpe,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
(Donkey Kong/DK),Donkey Kong,(Donkey Kong/DK),=,donkeykong,Japan,,Nintendo/Ikegami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #mamerom:dkong>dkongike,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
(Donkey Kong/JR),Donkey Kong,(Donkey Kong/JR),=,donkeykong,World,2001,Nintendo/Ikegami,Braze,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:hack #mamerom:dkong>dkongjrc,e883b4225a76a79f38cf1db7c340aa8e,3cd59e0328a32e3c8879c68e6cbd7894307291f5,b5241d4f10843c802abd9d7bc00155e2045383c3475dd7e77538aa2265daa53e,bbfe15c740caf55d2b95ac75c7bf2894a198fca63f51163d8a50ade4b17d7dc8acac8a1a3cbd3d20c36f659958b8ea08cc93bda04aff829c70b66e55a7b39dd3
Donkey Kong Jr.,=,Donkey Kong Junior,=,donkeykongjr,Japan,1982-08,Nintendo,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #mamerom:dkongjr>dkongjrj,c7b88a4354ee769bed4caa88829c549c,b274682dde13899d0c3ec1c33fdc98bcb611b495,18dd05e9e7cee1d38d3c9d9aabe13e61285e3b698ea32900d856d1562b1655bc,56c6d0070f0d1fdd136ee5e050323ee5850b070fc1f2857922bc2d45b6dae70819253d67d7062d46080cce5396d3eea3d92fd2d97a00c80c0b6f6d0447c76f90
Donkey Kong Junior,=,Donkey Kong Junior,=,donkeykongjr,Japan,1982,Nintendo,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #set:f1 #lang:en #mamerom:dkongjr>dkongjnrj,c7b88a4354ee769bed4caa88829c549c,b274682dde13899d0c3ec1c33fdc98bcb611b495,18dd05e9e7cee1d38d3c9d9aabe13e61285e3b698ea32900d856d1562b1655bc,56c6d0070f0d1fdd136ee5e050323ee5850b070fc1f2857922bc2d45b6dae70819253d67d7062d46080cce5396d3eea3d92fd2d97a00c80c0b6f6d0447c76f90
Donkey Kong Junior,=,Donkey Kong Junior,=,donkeykongjr,USA,1982-09,Nintendo,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #set:f2 #lang:en #mameparent #mamerom:dkongjr,c7b88a4354ee769bed4caa88829c549c,b274682dde13899d0c3ec1c33fdc98bcb611b495,18dd05e9e7cee1d38d3c9d9aabe13e61285e3b698ea32900d856d1562b1655bc,56c6d0070f0d1fdd136ee5e050323ee5850b070fc1f2857922bc2d45b6dae70819253d67d7062d46080cce5396d3eea3d92fd2d97a00c80c0b6f6d0447c76f90
Donkey Kong Junior,=,Donkey Kong Junior,=,donkeykongjr,USA,1982,Nintendo,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #unlicensed:bootleg #mamerom:dkongjr>dkongjr2,c7b88a4354ee769bed4caa88829c549c,b274682dde13899d0c3ec1c33fdc98bcb611b495,18dd05e9e7cee1d38d3c9d9aabe13e61285e3b698ea32900d856d1562b1655bc,56c6d0070f0d1fdd136ee5e050323ee5850b070fc1f2857922bc2d45b6dae70819253d67d7062d46080cce5396d3eea3d92fd2d97a00c80c0b6f6d0447c76f90
Donkey Kong Junior (E Kit),=,Donkey Kong Junior (E Kit),=,donkeykongjr,USA,1982,Nintendo,Nintendo,#input:joystick>4:buttons>1 #players:2:alt #genre:action>platformer #arcadeboard:nintendo #search:tate>ccw:feature>mario #lang:en #mamerom:dkongjr>dkongjre,c7b88a4354ee769bed4caa88829c549c,b274682dde13899d0c3ec1c33fdc98bcb611b495,18dd05e9e7cee1d38d3c9d9aabe13e61285e3b698ea32900d856d1562b1655bc,56c6d0070f0d1fdd136ee5e050323ee5850b070fc1f2857922bc2d45b6dae70819253d67d7062d46080cce5396d3eea3d92fd2d97a00c80c0b6f6d0447c76f90
