Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Pac-Land,Pac-Land@Pac-Land パックランド,pacland,Japan,1989-06-01,NAMCO,NAMCOT,#players:1 #genre:action>platformer #port:arcade #search:feature>pacman #lang:en,e77ad358d00d7e052a129fc232556ff1,fc0166da82ed3cf4a4e06fc6c73fd3184ba8bb3b,96af6599a93e74adf835d75dcf074c67b7623bbf2d338e59f88f4eaee89ea9d8,541d817509d2d1d1cf03fc31397dcf59b015c5f1546f26aed60e45312f048f5101ea8ee80280ee41874684c8687b315e2b08c11792b0c953fe1eb3323f82b991
Paranoia,Paranoia@Paranoia パラノイア,paranoia,Japan,1990-03-01,Naxat,Naxat,#players:1 #genre:shmup>h #lang:en,a53f17bc3492e89c391e280e32397450,b3097e7f163e4a067cf32f290e59657a8b5e271b,c08591dde38a6745a82db7a59eeed0f2c53dde2f112145ad71036a56e0a9a4bc,7f90beae1d79fcd8b8bf83f580c077b1162a8e590614a229d4e05d9598a2d8ec7ede0ab9fcc30ccb481121d2398f037a282bd5e3cf9ef1e7fe9d4a2b5c29c8e0
Parasol Stars: The Story of Bubble Bobble III,Parasol Stars: The Story of Bubble Bobble III@Parasol Stars パラソルスター The Story of Bubble Bobble III,parasolstarsthestoryofbubblebobble3,Japan,1991-02-15,Taito,Taito,#players:2:coop #genre:action>platformer #addon:multitap>pce:backup>tennokoe #save:backup #lang:en,d3d67a165f433a50e7e27bfbf395e706,94a4c4b16435b043b0b985af446d8767602f5041,648fa91c6edbf74b82dd0ff59513119ef52576ca51a833e2166bb802ab707c95,f7efa436d20908e4cd7c6e216004725a45641bb009de0405c9cdd35c25bae4979548c69a59b9c36d6a847517790fb4e348a833fa116b0e52c53b1f24a27a88cb
Parodius Da! Shinwa kara Owarai e@パロディウスだ! 神話からお笑いへ,Parodius Da! Shinwa kara Owarai e@パロディウスだ! Parodius 神話からお笑いへ,parodiusdashinwakaraowaraie,Japan,1992-02-21,Konami,Konami,#players:2:alt #genre:shmup>h #addon:multitap>pce #port:arcade #lang:ja,39f5f51e066e2d7874efcff7d6f394ef,5110dcc06efd1daaeb98305378d818519da88d28,d0655b12a5985752c16b69eefaeebe146bb113467419ee15375f0bbce1074c23,ff0542cf1b17644ee0d030db0b60ec5f14bb58f1072a4c7267554ca288c5d6f8502917fd65cbf0dac90ae60457746c84577ba5ef4b8ce0b12e78c855aa2d85e1
PC Denjin: Punkic Cyborgs@PC原人シリーズ PC電人 Punkic Cyborgs,PC Denjin: Punkic Cyborgs@PC原人シリーズ PC電人 Punkic Cyborgs,pcdenjinpunkiccyborgs,Japan,1992-11-20,Red,Hudson,#players:1 #genre:shmup>h #lang:ja,7320bc8fb2a9417ee63cf77ada108753,7713236070c2d5252faa651b6a8b7726cadb9bf4,e53d2b0a95b0196a7077ab40357106dcbcb4cc723e7b5f9511edfb6c9a040fb2,de286c837bc47a0b68086e8cf62f3d0f8580bc00cb553a67a1020d7344361695c2a19dac597174bbec2d69690ab7b308c1a09525a1f5b3f7b4a5994fa308516a
PC Genjin: Pithecanthropus Computerurus@PC原人 Pithecanthropus Computerurus,PC Genjin: Pithecanthropus Computerurus@PC原人 Pithecanthropus Computerurus,pcgenjinpithecanthropuscomputerurus,Japan,1989-12-15,Hudson Soft/Red/Atlus,Hudson,#players:1 #genre:action>platformer #lang:ja,0e997fd6e47e9212a90b0a137d65283d,40fab9ea76d94d5569a977b1eb5a1dfb54978485,cf32b2e31228adab7ce2cddc7d839e549eec0f069ce7397846aa76652a396cb1,7b0fa927b366c2c5df0677225190d4bc1f34294005e03cf8ab08d5e03e873d4a4cd5e16cb828c91a933641024200c60470374be84e932fe9f29c38b9b1bccf60
PC Genjin 2: Pithecanthropus Computerurus@PC原人2: Pithecanthropus Computerurus,PC Genjin 2: Pithecanthropus Computerurus@PC原人2: Pithecanthropus Computerurus,pcgenjin2pithecanthropuscomputerurus,Japan,1991-07-19,Hudson/Red,Hudson,#players:1 #genre:action>platformer #lang:ja,1d7dbc1ecff5f6661bffb6c2cfe1912f,ef2b10e9bd35428bff3d67b9f77dd3ff50d91f2e,f570303b65a57f846d18b7bf6f4e7681c432853071f2bab3ea833fe43eb76e0c,ffd37a222605665475cecf830f340a18fba22fa1635cce9a74cef6e1f697d0be505ae8d1b723cc1e252f386f0618e13812846babc1064216adad282dc5d092fc
PC Genjin 3: Pithecanthropus Computerurus@PC原人3: Pithecanthropus Computerurus,PC Genjin 3: Pithecanthropus Computerurus@PC原人3: Pithecanthropus Computerurus,pcgenjin3pithecanthropuscomputerurus,Japan,1993-04-02,Red,Hudson,#players:2:coop #genre:action>platformer #addon:multitap>pce #lang:ja,5356014f520019f6adcbb1cbe1543dbe,201aaeafccc9247cf25fd6661c5798aabcc7b329,a90268adc7bced0517bd8af6f406db76d89baa9ea47e297212255f9cb07389b5,77b329292dd3f1450b4e11f88f4f95f025aa3a24be1aa0f9b383bbdba92bbccba031fa9fe5166b6b85e7d357d47caeb29f6e5dd90e8fe3bd5fd3e0e1fe3c2fc7
Populous,Populous@Populous ポピュラス,populous,Japan,1991-04-05,Alfa System,Hudson,#players:1 #genre:sim>strategy>god #addon:backup>tennokoe #save:backup #port:commodore>amiga #lang:en,9d599a43d2c69738f3562f58aeff8828,4912ccc31bdd45ef9483ea345bbe4c4ff2d70779,16a796634a2b3da417a775cb64ffa3322ad7baf901c288934d28df967f7977f6,ff01c436d34fcb69d04980215dd549307306de5bd57405341d53f83a8877e559e5f10363df7946bc8647434e675b2807bb0cba3d90d59f3821feaf18b9cfc46e
Power Drift,Power Drift@Power Drift パワードリフト,powerdrift,Japan,1990-04-13,Copya System,Asmik,#players:1 #genre:racing #port:arcade #lang:en,c7f4c99ccb9f56ef954f3ccf332ce0db,1ffe1111a570b0cca256a356965fd6cdf7bcf2e9,61879f829d79235538bdf38d26dd3f2c838f7087e8a4b3600eaf9959bd609290,66daca9bcfd1978e48e180895dc804dc48225311ba9031cb24cd08aab03fbfce8db7547dd2fc4f25c2f6097189183270599b25ba5cf5027dadb9223927495961
Power Eleven,Power Eleven@Power Eleven パワーイレブン,powereleven,Japan,1991-06-21,Westone,Hudson,#players:2:vs #genre:sports>soccer #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:ja,7d3343c0e248cac189915ed6def0e81a,f132948117d3135ec8d5d74eaac8d965e6676fb4,cca6f15884ea4b201c324ab518d5d4c92cb742dfe7f86cfe918fdf9fad7c5f8c,f06a8ab7868063e79fe27058435ee61b7033d268ba3e569139d354ceed16fd518f052199d4a06eb813ae4f3ac5e377b866c22388bbf6292613dc7299f2188195
Power Gate,Power Gate@Power Gate パワーゲイト,powergate,Japan,1991-08-30,Pack-In-Video/Make Software,Pack-In-Video,#players:1 #genre:shmup>h #lang:ja,a797c794f8eef6ebbdacd7a3996e7134,ba5b53a1561a2ecf6bd6aec18a9db34c211c05ea,0d762c80767d14c54da552f4a9338e425643c9826b5c2d73763257d471ef783d,c0f776f9631b99e1a52f8ce36c65b32ac6560a4aa941ec6ad567f8436a969a7ce829361df55f9ec6e1c71e1ced018a48f94a4a5f910c5bba50b2830caa2d330f
Power Golf,Power Golf@パワーゴルフ,powergolf,Japan,1989-05-25,Hudson,Hudson,#players:3:vs #genre:sports>golf #addon:multitap>pce #lang:en,c9acd977deb987ad2c63d43e57be2f35,ff0a18094daecd56091f04f76b35551c303520b9,d1147e2c70e7d902238905d3ef245266b69119d61a1313623a298de2e887cfee,d88f68b4d0da24e8702fad63146d7fc4237f0a9c126aa6770701264c1e8bb5f5d6e77184a8e07471cda329f210a2d5b78c47982139822ab9107508f3a4227dc7
Power League,Power League@パワーリーグ,powerleague,Japan,1988-06-24,Hudson,Hudson,#players:2:vs #genre:sports>baseball #addon:multitap>pce #lang:ja,3a49c227a7cd14c96bc3aa6975c7f370,4e50a6c422b4d8c8ea0cce64e5acca7bf13adaf6,9fe709fa6359edb3a079445441fbc30954a037eb5623718e879a7bef22aaf888,46ed7c4fb6dea5fb1824a320720bed9ee5b8a562a648c17a1c1231a1dec96cb214c02b8a32466627a09390073bd375f8d3f68044d2a153518ac2690c89a5a626
Power League II,Power League II@パワーリーグII,powerleague2,Japan,1989-08-08,Hudson,Hudson,#players:2:vs #genre:sports>baseball #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:ja,3cc67e4b750ce2d977580883f3840966,2d176bd9efcf1576646e8889768ef8c6662ee216,fa9d836a18809c4b922ee7c8e748ec4a0591edb0700fad62e302d49d356df146,06bb648fbb4bf7543b690ee39e0e2a36245f12bbe93c830107d2dad0e4d483375ba1eeab5769bfca564262924c2bdb009da4a68096dd08d64b1a22f70502c39d
Power League III,Power League III,powerleague3,Japan,1990-08-10,Hudson,Hudson,#players:4:coop:vs #genre:sports>baseball #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:ja,0c042e30ff15e4608e49f364b5be2233,e6526db07c2de857ccf9b997e18ccfab73087133,a9562ec55d09097d6ab7ad57b0a6ff2f24dcb0aa84065f4aadd9732ca91d457c,e994eccce9342b634c6b217153f2455465337ab96c63c2d85e3d3afca67c54fd52da49a0bbfcabb202597e82523570440d6b4b8965385ae5a1943bbec388d11d
Power League IV,Power League 4@パワーリーグ4,powerleague,Japan,1991-08-09,Hudson,Hudson,#players:4:coop:vs #genre:sports>baseball #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:ja,d7b057e7c35be8cb7b37084ffe805688,a21825a19bef0a4d7847f72b4a00acd74a53ebb8,3ce4088a73f11cc10379281dd5c5c95ef8a6e8e9408b34888d9b5407db8c671d,c83d27fd115d0b5ce5304991b98134bd4d2223f98ded769af5c081c442426d1e7678d0398ae19951522f8cf095f51d723daa06242cc231eea9dcdb1b906a39a0
Power League V,Power League 5@パワーリーグ5 Power League,powerleague5,Japan,1992-08-07,Hudson,Hudson,#players:4:coop:vs #genre:sports>baseball #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:ja,35c4d1d204eed571700d18a46e697f25,6e94fa53d715d7c7ee26d49ea9a6b70005894e03,1dea13e30421c376c7b0ebfc939248bbe7623f0586241679355d046886583f77,a8311593ca3043590908c38d7bd01de47ae302b6978097278ed10db6dbc599eaab1e4ce65de6fb958a3792759774002488098dba183f9601f39489b51ab05cb6
Power League '93,Power League '93@Power League '93 パワーリーグ,powerleague93,Japan,1993-10-15,Hudson,Hudson,#players:4:coop:vs #genre:sports>baseball #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:ja,d77a24f6fff7183ed377e7753fccefda,0e710ee789206baceec43df7f24a8e80bdbc7154,4873ed81d60c6257fb4b71684dc3026bcc36517090e233ea654c5bdc92e3c972,209dedd9923294d0ebb120cc548d308017288e76aa70f3a83975275ecb02283b83047b5e8af0e1e6cde2ea04f62b2ee7e6dae0e6623d5498206ce4bab0246b90
Power Sports,Power Sports@パワースポーツ Power Sports,powersports,Japan,1992-10-10,Hudson,Hudson,#players:5:vs #genre:sports>decathlon>rowing>swimming #addon:multitap>pce:backup>tennokoe #save:backup:password #lang:en,bdda8c3ce16bce8080455535f992cbcb,dfb30bc069e97c72f051fc0ab237607187d4a52e,337d3b2eb62ff4be108e60b0a68cf50fa3566e93c6a35c5fb673f48945eb6e42,d69f30aa6dbc0d9edac49cfb267605702c54676c1dc2983a28a613b7449e2ef5e7583533c1ef8300786582d344d6a258475d8aca61f601e959e3afba38f532be
Power Tennis,Power Tennis@Power Tennis パワーテニス,powertennis,Japan,1993-06-25,Hudson,Hudson,#players:4:coop:vs #genre:sports>tennis #addon:multitap>pce:backup>tennokoe #save:backup #lang:ja,c40760fa44a7bbe3438c0547541db20d,eef562022a9399586dd4278d7877e408c19b47dd,4158ea392e84d639821a40d213decf5ba42cec82ecca53a6f4b37b6ed0b06e5a,d3cf07b1a2d366616a247e98f3b2c4cf564273d30493febdf46557807f13406175a17be7c446a7dde68a70ac395bee1de00bbdfc356440475f1b2f2992cf47fc
Pro Tennis: World Court@プロテニス ワールド コート World Court,Pro Tennis: World Court@プロテニス ワールド コート World Court,protennisworldcourt,Japan,1988-08-11,NAMCO,NAMCOT,#players:4:coop:vs #genre:sports>tennis #addon:multitap>pce #save:password #port:arcade #lang:ja,fb0e0ca7bdf2b7d8beed1d8c8a2af749,1330fe108135e63acf8ff8938b38ca7b2b5f6af0,e3143a2e1641d8f490847ebd2824314c28757ffefb6ae73277f8f3b53ad5f5e7,48422298388604a6160c11e2537d1ea280c9e540a3a784c96b97176e0a7a87135e2f2734293e842791177194fa0343935f80c4252797b2d2a0400908112ec420
Pro Yakyū World Stadium@プロ野球 ワールドスタジアム World Stadium,Pro Yakyū World Stadium@プロ野球 ワールドスタジアム World Stadium,proyakyuuworldstadium,Japan,1988-05-20,NAMCO,NAMCOT,#players:2:vs #genre:sports>baseball #addon:multitap>pce #lang:ja,f5809c06f9ac594300f41584d44dbc16,0309ba1acc4955e582457fd3fcc4ea8e0abf1264,3c6c5e265469fd7c31939fbe63dbc9682a8b7061fef1443aece03279a798231b,9e5255e20be1edddba2bdc1b2f693d19f6d2f25833aace839993c8705fffc2bb876fa43b264f4742b80ec80bb21ffd3d83c689712612f6ae769406d977db6fd2
Pro Yakyū World Stadium '91@プロ野球 ワールドスタジアム World Stadium '91,Pro Yakyū World Stadium '91@プロ野球 ワールドスタジアム '91,proyakyuuworldstadium91,Japan,1991-03-21,NAMCO,NAMCOT,#players:4:vs #genre:sports>baseball #addon:multitap>pce #save:password #lang:ja,ab15d6fdc397e66c0946194651d3069f,6b76e9cc10a812c15631450b617ea3719fdcdc16,b55af8048838dea55bed97849af3f4346795dcc773081ce2c0589fd1f2b0888b,1e105cd32d06fc3a372e7bd2180322934675d638dff6abc0f8d22a6a2fbe142e4c6915ed4fedeb87b78eb739f4859a30980d9e0b885f246f0142a768e1227413
Psycho Chaser,Psycho Chaser@Psycho Chaser サイコチェイサー,psychochaser,Japan,1990-04-06,Naxat,Naxat,#players:1 #genre:shmup>v #lang:ja,c21fe0981bf333dbf7b58382f5d309bb,753fc6f1aa16770c87cc12967a43e951a7b1ec83,942e686d1b668c72e41a15904e817b692bf4ef514164aa58dcc496a00fdde899,976125a6313f90a32f0c818f2112756f5e8e24c58fe29578386c8e27b6d482f57b306d03940741a9857d5273e6865757bc267fd18c1d19c73a7888ac7ade78d7
Puzzle Boy,Puzzle Boy@Puzzle Boy パズルボーイ,puzzleboy,Japan,1991-02-22,Atlus/Reno,Telenet,#players:2:vs #genre:puzzle #addon:multitap>pce:link>comcable #save:password #port:nintendo>gameboy #lang:ja,6394145312caac816ca44af55dff9533,f3d87e780683cd1873287069f4758581bb848935,c4c3759460edd5fd523a5d7d224046dffe26cb12c0af8f35e549daba15a5a369,cf29c26a73f987fe069f96aab7fde56186bd0bad7f2ecf5efba69453621ac2cb11a1e8a9176aef0fdd9dbcc39277b1ef7909b548858eb2b54cd0372475ce3e8c
Puzznic,Puzznic@Puzznic パズニック,puzznic,Japan,1990-06-29,Taito,Brøderbund,#players:1 #genre:puzzle #save:password #port:arcade #lang:ja,a8cdcc33207037a02868f366de6582ea,3906d644f5901e6d2e732cbd0a6dd0d38a29486b,712b5ef904fda93652d301cd04847d92bd10fdd00156db32ed7352a6336e5ada,3f0eff9e0658a577f9b2dfba631101ae1e41a76cb7fa441dada390a59a49e1665fe143afcacf587195b70e5cec71aa2c61559e7f19c530688575ae875ab0bacf
R・Type I,R-Type I,rtype1,Japan,1988-03-25,Hudson,Hudson,#players:1 #genre:shmup>h #port:arcade #lang:en,ac7e0730b10c3cf1afdc675c808572b1,1170c63839fb94c754d07c4f6f49ad2de6666668,c72e14a294f04de7ccbd29c45e22de05f7feaa92b8f0df4c52e5d0c046258c28,ef27a403df46c30550cb7c8cd0102e744441a47576072bdbdb81a463ae84dc4a96ca48d1f1327c848b2b897f113a608695bce14d9b864cc1859fa8284b607bde
R・Type II,R-Type II,rtype2,Japan,1988-06-03,Hudson,Hudson,#players:1 #genre:shmup>h #port:arcade #lang:en,9fda7ef8db7fe2799149cb0fbef20c95,7667dce9f6a09f8197efe0718e476b48579760d6,86b33cdb505a89fd2838c65448a299fb051222fc9715eb928540c2f663bd4b31,dad01c59fdfb1e46d05514dd762d4fbeac38daa486002da11b7c9656a6e8cf92af0afbafe0ba07848cdbd9ba569b20d8963b95ae80ab82c5ac0e7dfc420bb6b6
R・Type II,R-Type II,rtype2,Japan,,Hudson,Hudson,#players:1 #genre:shmup>h #port:arcade #lang:en #rev:1,1b00aea45aa694e0ae58a7d35aede8ad,198eb4e62a1a0e591c1505ef188e74eff8415e0a,8c8711d1da7e817c71acf2b0bb3df16ca6801484645fb4284ac3520e836e96bc,d786ac437b46a1e7729a55c1098d3c191903a69ff8b1a20048e387246ad85bd1e77e1bc6e9b5f35c5a2753d173a4a898ab05f8398e8ba108c5275c43fdb5a991
Rabio Lepus Special,Rabio Lepus Special@Rabio Lepus Special ラビオレプススペシャル,rabiolepusspecial,Japan,1990-10-19,Minakuchi Engineering,Video System,#players:1 #genre:shmup>h #port:arcade #lang:ja,4b942ff45a454222dd4ec1951e75a72c,ebd12a22e2d139a904b8aff535787abc128ad61a,d5984e1c46cb906d279151a026a17ee87cf6276fb2c4316dfec63dae0896fb07,0d29c6609ffe7a2ce2e93a1ae9bf025a76f9f14d691955ead0a886d309ec65eed584e7440f0ef4e9d93b383118385dd675da02b4b0f375ca46e54820db960db5
