Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Jangou Lady,=,Jangou Lady,Jangou Lady ジャンゴウ・レディー,jangoulady,Japan,1984-08,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:jngolady,90266727b6a3ef60dc6cbb6bc23cc3c9,cd54eb7db3c66005120ebb80b2cad3f17fddc710,188df585ad72f33e1b7e5f3bdb044340119a16372061aa61ae20978d8df2a87e,6592f8ee269a716f273faa24446ee021c2adf03819bbca44e602187a0d14baff096e34ba9be90790b03827bc79a058348c9396b7bef50eaf3f2e578e1b6dd197
Jangou Night,=,Jangou Night,Jangou Night ジャンゴウ　ナイト,jangounight,Japan,1983,Royal Denshi,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja,,,,
Jitsuroku Maru-chi Mahjong: Sugoku H na Kokuhaku Hen,実録(恥)マルチ麻雀 すごくHな告白編,Jitsuroku Maru-chi Mahjong: Sugoku H na Kokuhaku Hen,実録(恥)マルチ麻雀 すごくHな告白編,jitsurokumaruchimahjongsugokuhnakokuhakuhen,Japan,1993,Windom,Windom,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:jituroku,41dca4c86178033ae48a05263d2b78d9,95ef4a2cd68717a412a20007aca163a38c405a1d,5afd708d54f994e3c55bf27ecdedf43db9b58d33f088d8b121f62084393adb75,c7080fc6f30228cf5998aeff58422acafa9d1cb631498bcc5aae74e61ee0dd607c9688c2cfe1b8ebf4fab8ed2ddc57581381b975cf111a7c376e511642e6b23d
Kaguyahime,かぐや姫,Mahjong Kaguyahime,麻雀かぐや姫,mahjongkaguyahime,Japan,1988-04-25,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:kaguya>kaguyaa,b46744a065eb86c85735620591fc846b,4968a014418bec7bb1c90cb40fd40a6eda7f5a12,4028748a7bc24f2499dc58325c6b63d0b6df08b623c2e9df56e4b3e42b301288,ba5bfbafdbb6995d420a673aa3828bf18037b8233a1a52f35be779fec2856ff131f29df2cf686168a000864c3adb64f3af1edfc3271748b9a48d28dd268c2d67
Kaguyahime,かぐや姫,Mahjong Kaguyahime,麻雀かぐや姫,mahjongkaguyahime,Japan,1988-05-21,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:kaguya,b46744a065eb86c85735620591fc846b,4968a014418bec7bb1c90cb40fd40a6eda7f5a12,4028748a7bc24f2499dc58325c6b63d0b6df08b623c2e9df56e4b3e42b301288,ba5bfbafdbb6995d420a673aa3828bf18037b8233a1a52f35be779fec2856ff131f29df2cf686168a000864c3adb64f3af1edfc3271748b9a48d28dd268c2d67
Kaguyahime: Sono Ni,かぐや姫 其の二,Kaguyahime: Sono Ni,かぐや姫 其の二,mahjongkaguyahimesononi,Japan,1989-08-29,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:kaguya2,0923062157fcee53ed1e49c61677ff3d,6d67a8be7c224e5db5d39b124dca6940cf98c85a,4f5f490fa3ce35a13fd87f2730278cdc6da48358bac79de0d488178b055cf9a3,5c6b872a8df51139d59a6aefcb6c0f6a252529121aa7f8e80151abaf3c39e287eaeb69c641f58941b58cce4b7f1c36ea9d8ce586b9c273f09b861ed72729797e
Kaguyahime: Sono Ni (Fukkokuban),かぐや姫 其の二 (復刻版),Kaguyahime: Sono Ni (Fukkokuban),かぐや姫 其の二 (復刻版),mahjongkaguyahimesononi,Japan,2001-08-08,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:kaguya2>kaguya2f,0923062157fcee53ed1e49c61677ff3d,6d67a8be7c224e5db5d39b124dca6940cf98c85a,4f5f490fa3ce35a13fd87f2730278cdc6da48358bac79de0d488178b055cf9a3,5c6b872a8df51139d59a6aefcb6c0f6a252529121aa7f8e80151abaf3c39e287eaeb69c641f58941b58cce4b7f1c36ea9d8ce586b9c273f09b861ed72729797e
Kanatsuen no Onna,金津園のおんな,Kanatsuen no Onna,金津園のおんな,kanatsuennoonna,Japan,1988-09-05,Panac,Panac,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:kanatuen,1427efd52fcb161b4bc67c628e419a00,e6140dba0906bb518a901861929b830f03108bb7,ec2a52b1c746d1634242a9412d8c2ab49d0ff59dc7039021b6f1e56d604d29aa,977637a278ae523ad038dd24f8f4167de3d3538f9b468098500405565bb49a773725a686f09369a81cf890d1b8df74497550233cbbf3b176fa34f2d730ddbb93
Kyūkyoku no Onna,究極の女,Kanatsuen no Onna,究極の女,kanatsuennoonna,Japan,1988-08-24,Roller Tron,Roller Tron,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:kanatuen>kyuhito,1427efd52fcb161b4bc67c628e419a00,e6140dba0906bb518a901861929b830f03108bb7,ec2a52b1c746d1634242a9412d8c2ab49d0ff59dc7039021b6f1e56d604d29aa,977637a278ae523ad038dd24f8f4167de3d3538f9b468098500405565bb49a773725a686f09369a81cf890d1b8df74497550233cbbf3b176fa34f2d730ddbb93
Kid no Hore Hore Daisakusen,キッドのホレホレ大作戦,Kid no Hore Hore Daisakusen,キッドのホレホレ大作戦,kidnohorehoredaisakusen,Japan,1987-04,Nihon Bussan,Nichibutsu,#input:joystick>4:buttons>2 #players:2:alt #genre:action>maze #arcadeboard:nichibutsu #search:tate>ccw #lang:en #mameparent #mamerom:horekid,6686fb8d347b70a9379bd14c06e01362,54b36e31dcb998fdbcd782ebd64e91fbde42d3b7,8bc33204150f3bdf7f49d74efbc25a5997f98f5e9f146698505fb5d3a6bfb1ea,98a22ea414ab44ff066b7e3c4ef34da12d117242bfb772b3aad7574d14d5221d98e84f2a77286f3727330d3b031b3e4a462a0603cec026ffb95c6e4538538b50
Kid no Hore Hore Daisakusen,キッドのホレホレ大作戦,Kid no Hore Hore Daisakusen,キッドのホレホレ大作戦,kidnohorehoredaisakusen,Japan,1987,Nihon Bussan,,#input:joystick>4:buttons>2 #players:2:alt #genre:action>maze #arcadeboard:nichibutsu #search:tate>ccw #set:1 #lang:en #unlicensed:bootleg #mamerom:horekid>horekidb,6686fb8d347b70a9379bd14c06e01362,54b36e31dcb998fdbcd782ebd64e91fbde42d3b7,8bc33204150f3bdf7f49d74efbc25a5997f98f5e9f146698505fb5d3a6bfb1ea,98a22ea414ab44ff066b7e3c4ef34da12d117242bfb772b3aad7574d14d5221d98e84f2a77286f3727330d3b031b3e4a462a0603cec026ffb95c6e4538538b50
Kid no Hore Hore Daisakusen,キッドのホレホレ大作戦,Kid no Hore Hore Daisakusen,キッドのホレホレ大作戦,kidnohorehoredaisakusen,Japan,1987,Nihon Bussan,,#input:joystick>4:buttons>2 #players:2:alt #genre:action>maze #arcadeboard:nichibutsu #search:tate>ccw #set:2 #lang:en #unlicensed:bootleg #mamerom:horekid>horekidb2,6686fb8d347b70a9379bd14c06e01362,54b36e31dcb998fdbcd782ebd64e91fbde42d3b7,8bc33204150f3bdf7f49d74efbc25a5997f98f5e9f146698505fb5d3a6bfb1ea,98a22ea414ab44ff066b7e3c4ef34da12d117242bfb772b3aad7574d14d5221d98e84f2a77286f3727330d3b031b3e4a462a0603cec026ffb95c6e4538538b50
Booby Kids ,=,Booby Kids,=,kidnohorehoredaisakusen,Italy,1987,Nihon Bussan,,#input:joystick>4:buttons>2 #players:2:alt #genre:action>maze #arcadeboard:nichibutsu #search:tate>ccw #lang:en #unlicensed:hack #mamerom:horekid>boobhack,6686fb8d347b70a9379bd14c06e01362,54b36e31dcb998fdbcd782ebd64e91fbde42d3b7,8bc33204150f3bdf7f49d74efbc25a5997f98f5e9f146698505fb5d3a6bfb1ea,98a22ea414ab44ff066b7e3c4ef34da12d117242bfb772b3aad7574d14d5221d98e84f2a77286f3727330d3b031b3e4a462a0603cec026ffb95c6e4538538b50
Kozure Ookami,子連れ狼,Kozure Ookami,子連れ狼,kozureookami,Japan,1987-12,Nihon Bussan,Nichibutsu,#input:joystick>8:buttons>2 #players:1 #genre:brawler #arcadeboard:nichibutsu #based:manganime #lang:ja #mameparent #mamerom:kozure,948beb69f063300500c9ee5492426568,ad8c5c1e331f4349a7fd954decc11db63de4e7e4,35ed05a2b6a98028338cac623e8da6ad9ebfec794deb1e2b8acad1b4bfd9d002,8e88414f8c290c37f6858a862bc269fc9fd458e86bb8075f02d7f19b3a57142157dc7bf63b9baab88818bf4aa867eea47d833a9c7bb714f530fecb2455865f2d
