Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Mahjong Bakuhatsu Junjōden,麻雀　バクハツ　純情伝,Mahjong Bakuhatsu Junjōden,麻雀　バクハツ　純情伝,mahjongbakuhatsujunjouden,Japan,1991-10,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjgottsu>bakuhatu,c219268ce3f2cc52fc0d07034ae885c1,37e059b3285191f3aa916b2611992b4213f4f0be,23c03f8266b998978e97fd98660ba4ed41d44e6cde8524b17479b687000958b2,ccbd844c7138ea78d7343dce23a1cff6ee2df306b3ce170f6cf4d055d36b571e3d5fc7ba3d1c59dff6517714bb8c8731d730a9e857d8f9a85180c30fd5d75804
Mahjong Banana Dream,マージャン　バナナドリ〜ム,Mahjong Banana Dream,マージャン　バナナドリ〜ム,mahjongbananadream,Japan,1989-11-24,Digital Soft,Digital Soft,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:bananadr,e2a838c811c721bfb134419619f64685,a6202201175275bf1157bb76481d632374d97a26,73bd7d8e8d15cd3692cfd0f0c20468d518fe0d1560c0e92ea73929be7ed00cdb,bb4411cff6ff5c3f906be78a643feb70c143b89dd2d0932f19d9c241942392ae99dc8e70d14fbadb3ce35fecbfca210d47fe3cdd6de1bfbca4c74785a83f3941
Mahjong Triple Wars Bangai Hen: Sailor Wars,Mahjong トリプルウォーズ番外編 セーラーウォーズ,Mahjong Triple Wars Bangai Hen: Sailor Wars,Mahjong トリプルウォーズ番外編 セーラーウォーズ　,mahjonhbangaihensailorwars,Japan,1993-04,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:1 #lang:ja #mameparent #mamerom:sailorws,54f0052e874f4b891d99769c49683703,ae405b42727ab1b9cac881aba6db86e9a3508065,3f8487d9dfa9fe8a493822b8bae10223a7b72bc22cf09c491f38f54f25bf2e23,303518ce56e4a1d7e7bb704bce5aa2517850cdc767b9280896a1f2f2717eef7422c5e05368a880382d8132595cbbf8706779982194853279cdb901e0e362027b
Mahjong Triple Wars Bangai Hen: Sailor Wars,Mahjong トリプルウォーズ番外編 セーラーウォーズ,Mahjong Triple Wars Bangai Hen: Sailor Wars,Mahjong トリプルウォーズ番外編 セーラーウォーズ　,mahjonhbangaihensailorwars,Japan,1993,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:2 #lang:ja #mamerom:sailorws>sailorwa,54f0052e874f4b891d99769c49683703,ae405b42727ab1b9cac881aba6db86e9a3508065,3f8487d9dfa9fe8a493822b8bae10223a7b72bc22cf09c491f38f54f25bf2e23,303518ce56e4a1d7e7bb704bce5aa2517850cdc767b9280896a1f2f2717eef7422c5e05368a880382d8132595cbbf8706779982194853279cdb901e0e362027b
Mahjong Triple Wars Bangai Hen: Sailor Wars R: Medal ni natte Return!!,Mahjong トリプルウォーズ番外編 セーラーウォーズR メダルになってリターン!!,Mahjong Triple Wars Bangai Hen: Sailor Wars R: Medal ni natte Return!!,Mahjong トリプルウォーズ番外編 セーラーウォーズR メダルになってリターン!!,mahjonhbangaihensailorwars,Japan,1993,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:sailorws>sailorwr,54f0052e874f4b891d99769c49683703,ae405b42727ab1b9cac881aba6db86e9a3508065,3f8487d9dfa9fe8a493822b8bae10223a7b72bc22cf09c491f38f54f25bf2e23,303518ce56e4a1d7e7bb704bce5aa2517850cdc767b9280896a1f2f2717eef7422c5e05368a880382d8132595cbbf8706779982194853279cdb901e0e362027b
Mahjong Camera Kozō,麻雀カメラ小僧,Mahjong Camera Kozō,麻雀カメラ小僧,mahjongcamerakozou,Japan,1988-11-09,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjcamera,251349213e3e48adbb720791b5a6bcb5,790bb19cc9e8900ce243f2a9cba45dc69277d03c,cff15a9c378a375f810c8c71cb4848e7337ddcf2a2492b9beeb31c57dc9f1957,68311981a7204fd8b763c437649adf9d232f84a5edbc19aa224df2bbfcd0ff570d4e97fdd9d521af8054c9d27a95de8861601d0862f996a1db88389979805eb1
Mahjong Camera Kozō,麻雀カメラ小僧,Mahjong Camera Kozō,麻雀カメラ小僧,mahjongcamerakozou,Japan,1988-11-09,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjcamera>mjcamerao,251349213e3e48adbb720791b5a6bcb5,790bb19cc9e8900ce243f2a9cba45dc69277d03c,cff15a9c378a375f810c8c71cb4848e7337ddcf2a2492b9beeb31c57dc9f1957,68311981a7204fd8b763c437649adf9d232f84a5edbc19aa224df2bbfcd0ff570d4e97fdd9d521af8054c9d27a95de8861601d0862f996a1db88389979805eb1
Mahjong Camera Kozō,麻雀カメラ小僧,Mahjong Camera Kozō,麻雀カメラ小僧,mahjongcamerakozou,Japan,1989-05-09,Miki,Miki,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjcamera>mjcameram,251349213e3e48adbb720791b5a6bcb5,790bb19cc9e8900ce243f2a9cba45dc69277d03c,cff15a9c378a375f810c8c71cb4848e7337ddcf2a2492b9beeb31c57dc9f1957,68311981a7204fd8b763c437649adf9d232f84a5edbc19aa224df2bbfcd0ff570d4e97fdd9d521af8054c9d27a95de8861601d0862f996a1db88389979805eb1
Mahjong Chinmoku no Hentai,Mahjong 沈黙の編隊,Mahjong Chinmoku no Hentai,Mahjong 沈黙の編隊,mahjongchinmokunohentai,Japan,1990-05-11,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:chinmoku,5567aac95fb2a49daa88c7e1bac9a612,f0f3110d80108e000e479d4f5278dce6439536a2,531a6dd293a911484b226f82444ec50bfafa64b9a53de0fc70cca4476a2d4c2f,0eb6855f0f19bb0acfb7d8a96ba97d4068e2592f5895468235a9f220dde503371c8464cefabf487aca0064736b0ba2e94798b20898cb4726e64da970420a4dec
Mahjong Circuit no Meihyō,麻雀 サーキットの女豹,Mahjong Circuit no Meihyō,麻雀 サーキットの女豹,mahjongcircuitnomeihyou,Japan,1992-03,Kawakusu,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:cmehyou,b031045be55ccafeed47ee7eaa626fb7,acf2d0696b11aab021cb4136402229eeecdc22c2,d71fac57975c594ee7627e04b32a0914c379e37e6ab3e42de40773f35c11a922,e5656ffca2f92d99f239ff3fb63b4939754da219e1123d304c631e6adb419d83118dc78c2dbbad42e294770fb1486f4bc298f88236f9193513609a3ebc4ecf91
Mahjong Circuit no Meihyō Medal,麻雀 サーキットの女豹 Medal,Mahjong Circuit no Meihyō medal,麻雀 サーキットの女豹 Medal,mahjongcircuitnomeihyou,Japan,1992,Kawakusu,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mmehyou,14b99441c3285e68ee6337a17e12f583,82c979286da7ebfdcfdf38595d8f21f1ebb66348,4cfdb795e41f4cf7082c888175d5768fb2c96aa1443d4a92cacf1c0b9bac2c6f,861d6539b99d3b241de6c3a0344b2ffe776f27934d8fbaf94610bdd6418f672d59a14a57be8ab54bfe2a6043667f885039b31d89e0ba8a4a5aa369a435b34f66
Mahjong Club 90's,Mahjong Club 90's クラブ 90's,Mahjong Club 90's,Mahjong Club 90's クラブ 90's,mahjongclub90s,Japan,1990-09-19,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:1 #lang:ja #mameparent #mamerom:club90s,e32dd3997a017652af6cc4eb95b03fad,35b1982e07f8c865f886741b6fa929b6bb75768d,e8a058c1b04b4ac80d69151e911833ec05762f4a660002303fd5f97eed99bb1f,7a2a3a134f2327e50b9ef4745fd3974fb50b9d7a15fcf9660d34ce23005a84d5048ac6e50b036e1512d4a05b8e7d84970a9c8f596410807c0c1b5ddd97b21d57
Mahjong Club 90's,Mahjong Club 90's クラブ 90's,Mahjong Club 90's,Mahjong Club 90's クラブ 90's,mahjongclub90s,Japan,1990-09-19,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:2 #lang:ja #mamerom:club90s>club90sa,e32dd3997a017652af6cc4eb95b03fad,35b1982e07f8c865f886741b6fa929b6bb75768d,e8a058c1b04b4ac80d69151e911833ec05762f4a660002303fd5f97eed99bb1f,7a2a3a134f2327e50b9ef4745fd3974fb50b9d7a15fcf9660d34ce23005a84d5048ac6e50b036e1512d4a05b8e7d84970a9c8f596410807c0c1b5ddd97b21d57
Mahjong Erotica Golf,まーじゃん　エロティカ　ゴルフ,Mahjong Erotica Golf,まーじゃん　エロティカ　ゴルフ,mahjongeroticagolf,Japan,1994-02,AV Japan,Fujic,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjegolf,83d62c5b90e39100acbb8731f724ecd3,52fee6601029e4e22fe4efd228c5602e1cb50755,98950fd4cc813fe370d105d20dc1a9189ff1909729ad0f0c8df4ae2cc1dc10f8,fec8a9b6b2c8c224b5a494aad04a69f85c01c54e0c931aa560de0c8343ed4a0f618b08f0c90295e0fa7f3b57312e2604fd05b672a95317f3b51f321d0f14da33
Mahjong Focus,麻雀フォーカス,Mahjong Focus,麻雀フォーカス,mahjongfocus,Japan,1989-03-13,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjfocus,a6cfde58204ed9e933a9cb0b3c3bc84f,446795abf8c261316310d3a759fbc0d870871140,1a88a2fad3144cff6a36fa5c290981b1f890e8810b8d21dbef2ce13b8db894a0,3da714c67655830548ebf294acca080027304eb725471711ad67987f3698c1c05aab88529c83d17df0d8c3a4aaf4e66e3fca2599ef9f901a6c4166709a9d9e76
Mahjong Focus,麻雀フォーカス,Mahjong Focus,麻雀フォーカス,mahjongfocus,Japan,1989-05-10,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjfocus>mjfocusm,a6cfde58204ed9e933a9cb0b3c3bc84f,446795abf8c261316310d3a759fbc0d870871140,1a88a2fad3144cff6a36fa5c290981b1f890e8810b8d21dbef2ce13b8db894a0,3da714c67655830548ebf294acca080027304eb725471711ad67987f3698c1c05aab88529c83d17df0d8c3a4aaf4e66e3fca2599ef9f901a6c4166709a9d9e76
Mahjong Gal 10-Renpatsu: Naniwa no Onee wa Omoroi de,マージャン ギャル10連発 ナニワのお姉ぇはおもろいで,Mahjong Gal 10-Renpatsu: Naniwa no Onee wa Omoroi de!,マージャン ギャル10連発 ナニワのお姉ぇはおもろいで!,mahjonggal10renpatsunaniwanooneewaomoroide,Japan,1993-09,Fujic,Fujic,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:gal10ren,5cdc8b4b40d6ab7e8c20729145d89406,93d307f2bddf73bf573f71b657fa6a9516ff47e0,be1febc7ef837f1cbe1e4252e2af4210e642b8b46711e9f366e614625a96b7d2,e829c2c7ebc796bf4246bafdaf502c39c74f1095b7a578bf7ee255edd138046cd9b5e303d50fbcfd52c7d61b224ed7c730b700c7fb177d924cf3401c8ca91ff2
Nozokimeguri Mahjong Peep Show,のぞきめぐり 麻雀 Peep Show ピープジョウ,Nozokimeguri Mahjong Peep Show,のぞきめぐり 麻雀 Peep Show ピープジョウ,mahjongfocus,Japan,1989-04-04,AC,AC,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #unlicensed>bootleg #mamerom:mjfocus>peepshow,a6cfde58204ed9e933a9cb0b3c3bc84f,446795abf8c261316310d3a759fbc0d870871140,1a88a2fad3144cff6a36fa5c290981b1f890e8810b8d21dbef2ce13b8db894a0,3da714c67655830548ebf294acca080027304eb725471711ad67987f3698c1c05aab88529c83d17df0d8c3a4aaf4e66e3fca2599ef9f901a6c4166709a9d9e76
Mahjong G Men'89: Satsusareta OL,Mahjong Gメン'89 殺されたOL,Mahjong G Men'89: Satsusareta OL,Mahjong Gメン'89 殺されたOL,mahjonggmen89satsusaretaol,Japan,1989-04-25,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mgmen89,db0659f6db3db4079a30ae29c8c42c9c,bfe7b632787bddd39ef686c681676cacf95a3f68,a76dc7683ed8b60e3c0de181429ed4768bf6e78af45433d74ff79243ee2c20fd,731b0cb566970acdf9948302475d44f1315293ddac59d5f42ba1dc4a710acbde178177d0e9d2bc76f0a8f70c0b3dc5cabe748e9c3b35225e42ed9d8e05ee90f1
Mahjong Gaiden,麻雀外伝,Mahjong Gaiden,麻雀外伝,mahjonggaiden,Japan,1987-08-03,Central Denshi,Central Denshi,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #lang:ja #mameparent #mamerom:mjgaiden,dd633cfd96eb34361fe8fc0c3e775536,e4b6387f43e758d93dc9c083c1c66a40720dd583,9a6fd792fe9cb17435bb1e499779fe5ee8134f0a25534045264b865d82bb6c01,2d7159e75b1feb03c7bb8ccb1f2f632f820eb5c56c63e7abcb3579a661aa60010887cc74651b138d1625670d1a411399fb8dfffbf738dba973f69d9a1d6f4cd7
Mahjong Gal no Kokuhaku,Mahjong ギャルの告白,Mahjong Gal no Kokuhaku,Mahjong ギャルの告白,mahjonggalnokokuhaku,Japan,1989-06,T.R.Tec,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #set:1 #lang:ja #mameparent #mamerom:galkoku,6e01c4a47e29bb929d7ee998e112e15b,3920fa4ed04f6bf9e0e624c538d0e17e39503006,8a211520ca86581770a1d061d7f7456a53b82e01b9046f774bccb21a57f2354e,74f80c5f8664321e4d2ad2f70f1c0b51f42857ab2752d054449e981669830480813ab8ddcc43a9f49b4aaa7bf4a41cd9c965fb660c97ee21a76a62ad4c08ca5e
Mahjong Gal no Kokuhaku,Mahjong ギャルの告白,Mahjong Gal no Kokuhaku,Mahjong ギャルの告白,mahjonggalnokokuhaku,Japan,1989,T.R.Tec,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #set:2 #lang:ja #mamerom:galkoku>galkokua,6e01c4a47e29bb929d7ee998e112e15b,3920fa4ed04f6bf9e0e624c538d0e17e39503006,8a211520ca86581770a1d061d7f7456a53b82e01b9046f774bccb21a57f2354e,74f80c5f8664321e4d2ad2f70f1c0b51f42857ab2752d054449e981669830480813ab8ddcc43a9f49b4aaa7bf4a41cd9c965fb660c97ee21a76a62ad4c08ca5e
Mahjong Gal no Kaika,Mahjong ギャルの開花,Gal no Kaika,ギャルの開花,galnokaika,Japan,1989-08,T.R.Tec,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:galkaika,60b4faac1b95d668959c0bd95ce29cbb,5385ec7f5e790b370569b350987657d9ae13b039,89599b586d479633b8412d0cf5f9007675b8a89150ad6dc43d4015e68d2e3454,791f3254c12048d3496880ca1dd05c0c7f7823ab72d1350840ee3179a0e74687538628640d688f61aaf8b45754c2f5a4baae2b2d41c891f47e8b58ddf027f229
Mahjong Gottsu ee-Kanji!,麻雀　ごっつ　ええ感じ!,Mahjong Gottsu ee-Kanji!,麻雀　ごっつ　ええ感じ!,mahjonggottsueekanji,Japan,1991-11,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjgottsu,c219268ce3f2cc52fc0d07034ae885c1,37e059b3285191f3aa916b2611992b4213f4f0be,23c03f8266b998978e97fd98660ba4ed41d44e6cde8524b17479b687000958b2,ccbd844c7138ea78d7343dce23a1cff6ee2df306b3ce170f6cf4d055d36b571e3d5fc7ba3d1c59dff6517714bb8c8731d730a9e857d8f9a85180c30fd5d75804
Mahjong Hyōban Musume,Mahjong ひょうばん娘,Mahjong Hyōban Musume,Mahjong ひょうばん娘,mahjonghyoubanmusume,Japan,1989,T.R.Tec,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong:parlor>jackpot #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:galkoku>hyouban,6e01c4a47e29bb929d7ee998e112e15b,3920fa4ed04f6bf9e0e624c538d0e17e39503006,8a211520ca86581770a1d061d7f7456a53b82e01b9046f774bccb21a57f2354e,74f80c5f8664321e4d2ad2f70f1c0b51f42857ab2752d054449e981669830480813ab8ddcc43a9f49b4aaa7bf4a41cd9c965fb660c97ee21a76a62ad4c08ca5e
Mahjong Janjan Bari Bari,麻雀ジャンジャンバリバリ,Mahjong Janjan Bari Bari,麻雀ジャンジャンバリバリ,mahjongjanjanbaribari,Japan,1992-09,Yubis/AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:janbari,09b7c627bad8e45e32cc326570ac893a,011cb988c64e0426e882c41b5ce75a739765f704,5c3d529f11976137ed43a5757d654d26d46ff26acf4a472ea467d9f17223b5f3,d66f831da0c087c61935f3bb76b1103c2a1a7cffc1ea215c9e1acacd1deedba9fe29f08ae5ba7f946555f902c4a5bf38bd9d41e6510228a512259026101ec365
Medal Mahjong Janjan Baribari,メダル麻雀ジャンジャンバリバリ,Medal Mahjong Janjan Baribari,メダル麻雀ジャンジャンバリバリ,mahjongjanjanbaribari,Japan,1992-09,Yubis/AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:janbari>mjanbari,09b7c627bad8e45e32cc326570ac893a,011cb988c64e0426e882c41b5ce75a739765f704,5c3d529f11976137ed43a5757d654d26d46ff26acf4a472ea467d9f17223b5f3,d66f831da0c087c61935f3bb76b1103c2a1a7cffc1ea215c9e1acacd1deedba9fe29f08ae5ba7f946555f902c4a5bf38bd9d41e6510228a512259026101ec365
Mahjong Jiken Love Story,Mahjong 実験 Love Story,Mahjong Jiken Love Story,Mahjong 実験 Love Story ラブ　ストーリー,mahjongjikenlovestory,Japan,1991,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjlstory,d6075b59741d6708c83871d6cc8c4205,288d58d13c39cbcf26058ea6e1daa693aefbd34c,1fe125156cb6d6dcb6c81bcc027a01483d934da9d83fbd15d965f625b5376df1,6408fb295ed9e4b4c8c90aab4f3ac244f5edfe996774ac128d56bacbfec912aa8c453d18195c06bc9e6324d7a51d6eccbfa6243336ec1bfeb213cb352803195a
Mahjong Keiba-Ō,まーじゃん　競馬王,Mahjong Keiba-Ō,まーじゃん　競馬王,mahjongkeibaou,Japan,1993-05,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mkeibaou,8c8d9bddbd289c013632d81d0a1ea8ac,99999cc2a6f5a8515a84a30e9ec0938325cb6df8,dea1f2d11800817b99362deb115c5d702de5697fee34b124fb61b5f4d6b497a3,27c5f0d829dee9f8b54a0ef4cb20baec48605b021017a8525355e0edbdd431c96cc28fff60a40e9a60a402912108162e63599ceb0ba02cd92520ba858d31a59a
Mahjong Koi no Magic Potion,マージャン　恋のマジックポ〜ション,Mahjong Koi no Magic Potion,マージャン　恋のマジックポ〜ション,mahjongkoinomagicpotion,Japan,1992-10,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:koinomp,4ff3384f4652eb6626489bd8e99bdffb,5f966bd2472704d2b6dd192d55a40ed68a96b7c9,a27675641a8b00b5f6cbaac19a1c3bb6a3a6e41dbbab664038673b6dcd6395ad,14c43525b7f6b9f7abc2e72d836695ff62f5af21b6bbb348d0558ae317cb2bb36168a73064c6e6a010d0c0a3fd59c6447ecf33780b57ead44e2c8d82b9df54b4
Mahjong Koi Uranai,麻雀　恋占い,Mahjong Koi Uranai,麻雀　恋占い,mahjongkoiuranai,Japan,1992-03,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:1 #lang:ja #mameparent #mamerom:mjkoiura,4ff3384f4652eb6626489bd8e99bdffb,5f966bd2472704d2b6dd192d55a40ed68a96b7c9,a27675641a8b00b5f6cbaac19a1c3bb6a3a6e41dbbab664038673b6dcd6395ad,14c43525b7f6b9f7abc2e72d836695ff62f5af21b6bbb348d0558ae317cb2bb36168a73064c6e6a010d0c0a3fd59c6447ecf33780b57ead44e2c8d82b9df54b4
Mahjong Koi Uranai,麻雀　恋占い,Mahjong Koi Uranai,麻雀　恋占い,mahjongkoiuranai,Japan,1992,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #set:2 #lang:ja #mamerom:mjkoiura>mkoiuraa,4ff3384f4652eb6626489bd8e99bdffb,5f966bd2472704d2b6dd192d55a40ed68a96b7c9,a27675641a8b00b5f6cbaac19a1c3bb6a3a6e41dbbab664038673b6dcd6395ad,14c43525b7f6b9f7abc2e72d836695ff62f5af21b6bbb348d0558ae317cb2bb36168a73064c6e6a010d0c0a3fd59c6447ecf33780b57ead44e2c8d82b9df54b4
Mahjong L'Amant,麻雀ラマン,Mahjong L'Amant,麻雀ラマン,mahjonglamant,Japan,1993-11,AV Japan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjlaman,b0c681a3fe37844543feb0d493ff10c5,9a9826e3cfdeee113f9d30d0a01051cef1f485a4,69c3480cc44e5984ceff0186702bb56f6e8fc44dcf358270f333af0a43eb0ce5,e94bd7d3f471e5288b3c1c24b924dd36adc2c934b509933a539cdb2f05c37e959d067091ccc7052cc3f92e46de700cc663f1718cd149a94d47d3f86570a574c8
Mahjong Love House,Mahjong Love House ラブ　ハウス,Mahjong Love House,Mahjong Love House ラブ　ハウス,mahjonglovehouse,Japan,1990-10-24,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:club90s>lovehous,e32dd3997a017652af6cc4eb95b03fad,35b1982e07f8c865f886741b6fa929b6bb75768d,e8a058c1b04b4ac80d69151e911833ec05762f4a660002303fd5f97eed99bb1f,7a2a3a134f2327e50b9ef4745fd3974fb50b9d7a15fcf9660d34ce23005a84d5048ac6e50b036e1512d4a05b8e7d84970a9c8f596410807c0c1b5ddd97b21d57
Mahjong Nanpa Story,まージャン　ナンパスト〜リ〜,Mahjong Nanpa Story,まージャン　ナンパスト〜リ〜,mahjongnanpastory,Japan,1989-07-12,Brooks,Brooks,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjnanpas>mjnanpaa,4007d00153f396158a611a045a87db44,7eaed33ad9abe1eb59869a5971899f1c6d34750d,d312983350c0fc815cd7ef60610ceff0d31b6c379baa7b09f7f7ba56f68e428f,159c3c7fd83dfc579820f50b2bef26316dc86fcc05fb81d5128bbb0a8363150dd5e7f4fd057bc2f43fdf907959f061d0e6841c69bded78412638f8e2f10bdb3d
Mahjong Nanpa Story,まージャン　ナンパスト〜リ〜,Mahjong Nanpa Story,まージャン　ナンパスト〜リ〜,mahjongnanpastory,Japan,1989-07-13,Brooks,Brooks,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:mjnanpas,4007d00153f396158a611a045a87db44,7eaed33ad9abe1eb59869a5971899f1c6d34750d,d312983350c0fc815cd7ef60610ceff0d31b6c379baa7b09f7f7ba56f68e428f,159c3c7fd83dfc579820f50b2bef26316dc86fcc05fb81d5128bbb0a8363150dd5e7f4fd057bc2f43fdf907959f061d0e6841c69bded78412638f8e2f10bdb3d
Mahjong Nanpa Story (Ura),まージャン　ナンパスト〜リ〜 (裏),Mahjong Nanpa Story (Ura),まージャン　ナンパスト〜リ〜 (裏),mahjongnanpastory,Japan,1989-08-05,Brooks,Brooks,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mamerom:mjnanpas>mjnanpau,4007d00153f396158a611a045a87db44,7eaed33ad9abe1eb59869a5971899f1c6d34750d,d312983350c0fc815cd7ef60610ceff0d31b6c379baa7b09f7f7ba56f68e428f,159c3c7fd83dfc579820f50b2bef26316dc86fcc05fb81d5128bbb0a8363150dd5e7f4fd057bc2f43fdf907959f061d0e6841c69bded78412638f8e2f10bdb3d
Mahjong Pachinko Monogatari,麻雀　パチンコ物語,Mahjong Pachinko Monogatari,麻雀　パチンコ物語,mahjongpachinkomonogatari,Japan,1992-08,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:patimono,6f87dfc4f7a6dedc455443b1c4dce825,e187c97dc4d2b4659c85b66985785c3aa8c7e186,24138f595b35538f96069f02939acb78d509360da6e264d3566c20bb939957df,407bdf5c2430b285f11729d0b2a80104d00ce133ab443591193d37b6ef7e3f9c1bbbd47748c8604a169e0491a548105340200a4e5b0d10a0cf66885e2a73bb03
Mahjong Panic Stadium,Mahjong ぱにっく スタジアム,Mahjong Panic Stadium,Mahjong ぱにっく スタジアム,mahjongpanicstadium,Japan,1990-06,Nihon Bussan,Nichibutsu,#input:keyboard>mahjong #players:1 #genre:board>mahjong #arcadeboard:nichibutsu #search:keyword>strip #lang:ja #mameparent #mamerom:pstadium,741835ffd943993da5208c53da01a204,4e3ff2f9a8f50b3fe6e8b92f9f72f6e689611ef4,b47f53b38b8962c9a08b74b5160db9493fce5cf2607f378dfc87dbe9996aa7ea,c5265f3416039cdbc689de30b2328a9f0d894906af82c72a88317b38a10899c9ccdc84812d0449eca2ef68e0857d7a231c0e8a8507fc783e3ef3d0d3d3045b0e
