Game title,Original character set,ID,Region,Release date,Developer,Tags,MAME ROM,File hash (MD5 SHA1 SHA256 SHA512)
1941: Counter Attack,,1941,Japan,1990-02,CAPCOM,#2P #8W #2B #tate #coop #shmup #cps #cps1,1941.zip|1941j.zip,3c0808d3e472efc3c8e3bb28691fd5f9 36f70b198e01157b9a68b9f30d13432736930ce0 8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc 350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1941: Counter Attack,,1941,USA,1990-02-27,CAPCOM,#2P #8W #2B #tate #coop #shmup #cps #cps1,1941.zip|1941u.zip,3c0808d3e472efc3c8e3bb28691fd5f9 36f70b198e01157b9a68b9f30d13432736930ce0 8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc 350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1941: Counter Attack,,1941,World,1990-02,CAPCOM,#2P #8W #2B #tate #coop #shmup #cps #cps1,1941.zip|1941r1.zip,3c0808d3e472efc3c8e3bb28691fd5f9 36f70b198e01157b9a68b9f30d13432736930ce0 8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc 350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1941: Counter Attack,,1941,World,1990-02-27,CAPCOM,#2P #8W #2B #tate #coop #shmup #cps #cps1 #mameparent,1941.zip,3c0808d3e472efc3c8e3bb28691fd5f9 36f70b198e01157b9a68b9f30d13432736930ce0 8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc 350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
Adventure Quiz: CAPCOM World 2,,capcomworld2,Japan,1992-06-11,CAPCOM,#2P #0W #4B #vs #quiz #cps #cps1,cworld2ja.zip|cworld2j.zip,ed83e43d7d5a11990ee8876bac587709 d9dbf49b6daeae346470d299d490c50482e05d55 c3e0742000659f8f0b69029230db67e985ab0f8b2d010a45bf0b1b8dd8b637d3 16b9d3e5249a19b0838b5a31cd18ec4a621d896267ec90398aabcac558c6a846564f7bd96660981cb481fce49a0bbf6cfee90a8bd06920e446ee98a9a4811721
Adventure Quiz: CAPCOM World 2,,capcomworld2,Japan,1992-06-11,CAPCOM,#2P #0W #4B #vs #quiz #cps #cps1,cworld2jb.zip|cworld2j.zip,ed83e43d7d5a11990ee8876bac587709 d9dbf49b6daeae346470d299d490c50482e05d55 c3e0742000659f8f0b69029230db67e985ab0f8b2d010a45bf0b1b8dd8b637d3 16b9d3e5249a19b0838b5a31cd18ec4a621d896267ec90398aabcac558c6a846564f7bd96660981cb481fce49a0bbf6cfee90a8bd06920e446ee98a9a4811721
Adventure Quiz: CAPCOM World 2,,capcomworld2,Japan,1992-06-11,CAPCOM,#2P #0W #4B #vs #quiz #cps #cps1 #mameparent,cworld2j.zip,ed83e43d7d5a11990ee8876bac587709 d9dbf49b6daeae346470d299d490c50482e05d55 c3e0742000659f8f0b69029230db67e985ab0f8b2d010a45bf0b1b8dd8b637d3 16b9d3e5249a19b0838b5a31cd18ec4a621d896267ec90398aabcac558c6a846564f7bd96660981cb481fce49a0bbf6cfee90a8bd06920e446ee98a9a4811721
Area 88,エリア88,area88,Japan,1989-08,CAPCOM,#2P #8W #2B #coop #shmup #cps #cps1,area88.zip|unsquad.zip,9b31bc6ae33f2e9be0f06933d7414206 7b20b234dfdb09c04441c5a19d6be36e8fb5f861 d8b2190352ede25d321afe325422c73c3868fae7a44368c19e0826b99f395a78 419592f178947ecaadf2bdcd3726e72f0d584f90558f6d56b9da140d070beeb71cd8f6cc19ca7b64be60c71b1c12474a22bc3aad829142137cbc921174905c4a
Area 88,エリア88,area88,Japan,1989,CAPCOM,#2P #8W #2B #coop #shmup #cps #cps1,area88r.zip|unsquad.zip,9b31bc6ae33f2e9be0f06933d7414206 7b20b234dfdb09c04441c5a19d6be36e8fb5f861 d8b2190352ede25d321afe325422c73c3868fae7a44368c19e0826b99f395a78 419592f178947ecaadf2bdcd3726e72f0d584f90558f6d56b9da140d070beeb71cd8f6cc19ca7b64be60c71b1c12474a22bc3aad829142137cbc921174905c4a
U.N. Squadron,,area88,USA,1991-09,CAPCOM,#2P #8W #2B #coop #shmup #cps #cps1 #mameparent,unsquad.zip,9b31bc6ae33f2e9be0f06933d7414206 7b20b234dfdb09c04441c5a19d6be36e8fb5f861 d8b2190352ede25d321afe325422c73c3868fae7a44368c19e0826b99f395a78 419592f178947ecaadf2bdcd3726e72f0d584f90558f6d56b9da140d070beeb71cd8f6cc19ca7b64be60c71b1c12474a22bc3aad829142137cbc921174905c4a
Captain Commando,,captaincommando,Japan,1991-09-28,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,captcommjr1.zip|captcomm.zip,67ccb20ed2008e0913b4e59b76ff6818 d4155f2d612d24381a654834c22a6f76a26f5646 c72b4600283f2406ddc76b1bc7ff8f86a72bee01ff393e6d09c58d903a98fa05 077c0b1d6c161fcb9b2611ded8d60475aa8493704cfbb068f781c7e6c15d2fa96d637f848df41acdecc513dd2d4947bd8b42ab6f67a61c176642df57aae60843
Captain Commando,,captaincommando,Japan,1991-12-02,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,captcommj.zip|captcomm.zip,captcommjr1.zip|captcomm.zip,67ccb20ed2008e0913b4e59b76ff6818 d4155f2d612d24381a654834c22a6f76a26f5646 c72b4600283f2406ddc76b1bc7ff8f86a72bee01ff393e6d09c58d903a98fa05 077c0b1d6c161fcb9b2611ded8d60475aa8493704cfbb068f781c7e6c15d2fa96d637f848df41acdecc513dd2d4947bd8b42ab6f67a61c176642df57aae60843
Captain Commando,,captaincommando,USA,1991-09-28,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,captcommu.zip|captcomm.zip,captcommjr1.zip|captcomm.zip,67ccb20ed2008e0913b4e59b76ff6818 d4155f2d612d24381a654834c22a6f76a26f5646 c72b4600283f2406ddc76b1bc7ff8f86a72bee01ff393e6d09c58d903a98fa05 077c0b1d6c161fcb9b2611ded8d60475aa8493704cfbb068f781c7e6c15d2fa96d637f848df41acdecc513dd2d4947bd8b42ab6f67a61c176642df57aae60843
Captain Commando,,captaincommando,World,1991-10-14,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,captcommr1.zip|captcomm.zip,captcommjr1.zip|captcomm.zip,67ccb20ed2008e0913b4e59b76ff6818 d4155f2d612d24381a654834c22a6f76a26f5646 c72b4600283f2406ddc76b1bc7ff8f86a72bee01ff393e6d09c58d903a98fa05 077c0b1d6c161fcb9b2611ded8d60475aa8493704cfbb068f781c7e6c15d2fa96d637f848df41acdecc513dd2d4947bd8b42ab6f67a61c176642df57aae60843
Captain Commando,,captaincommando,World,1991-12-02,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1 #mameparent,captcomm.zip,captcommjr1.zip|captcomm.zip,67ccb20ed2008e0913b4e59b76ff6818 d4155f2d612d24381a654834c22a6f76a26f5646 c72b4600283f2406ddc76b1bc7ff8f86a72bee01ff393e6d09c58d903a98fa05 077c0b1d6c161fcb9b2611ded8d60475aa8493704cfbb068f781c7e6c15d2fa96d637f848df41acdecc513dd2d4947bd8b42ab6f67a61c176642df57aae60843
Chiki Chiki Boys,,chikichikiboys,Japan,1990-06-19,CAPCOM,#2P #8W #3B #coop #platformer #cps #cps1,chikij.zip|mtwins.zip,mtwins.zip,b7d24d990caa9d2006258a6057225d50 39086001d7408ff7fd50f48d5a5e5c49ea40bb9c d16a9a817949ebfb61d5c5528807855269725dc28de9dcd75d9a104be95377d3 9fb4045a85136e4cb27f34152abdf4c19108fa7f19067cd0863525574165e4692ee2ffab8fd1fc6dc6bf2e62d307ca7f01ffdcc69cf7db9bc8f4149f7c5e7562
Mega Twins,,chikichikiboys,World,1990-06-19,CAPCOM,#2P #8W #3B #coop #platformer #cps #cps1 #mameparent,mtwins.zip,b7d24d990caa9d2006258a6057225d50 39086001d7408ff7fd50f48d5a5e5c49ea40bb9c d16a9a817949ebfb61d5c5528807855269725dc28de9dcd75d9a104be95377d3 9fb4045a85136e4cb27f34152abdf4c19108fa7f19067cd0863525574165e4692ee2ffab8fd1fc6dc6bf2e62d307ca7f01ffdcc69cf7db9bc8f4149f7c5e7562
Daimakaimura,大魔界村,daimakaimura,Japan,1988-10-05,CAPCOM,#1P #4W #2B #platformer #cps #cps1,daimakai.zip|ghouls.zip,321baed3315ec62b8b82776122a641be 1275d9691bd14eeadc59d79050eb324857733bee f02f998cc4b170888dd8c3efdcd314248e282c7111a4eb648068fe36d1f6e81e 8dce88acdf7153c71386da8608d1ef0e2d9d92d6d618fa9e73f35596277628affb2455500c14dc87d751d86809a6422ef3338a42048dd4937ba11abc9b5bcf9b
Daimakaimura,大魔界村,daimakaimura,Japan,1988-12,CAPCOM,#1P #4W #2B #platformer #cps #cps1,daimakair.zip|ghouls.zip,321baed3315ec62b8b82776122a641be 1275d9691bd14eeadc59d79050eb324857733bee f02f998cc4b170888dd8c3efdcd314248e282c7111a4eb648068fe36d1f6e81e 8dce88acdf7153c71386da8608d1ef0e2d9d92d6d618fa9e73f35596277628affb2455500c14dc87d751d86809a6422ef3338a42048dd4937ba11abc9b5bcf9b
Ghouls'n Ghosts,,daimakaimura,USA,1988-12,CAPCOM,#1P #4W #2B #platformer #cps #cps1,ghoulsu.zip|ghouls.zip,321baed3315ec62b8b82776122a641be 1275d9691bd14eeadc59d79050eb324857733bee f02f998cc4b170888dd8c3efdcd314248e282c7111a4eb648068fe36d1f6e81e 8dce88acdf7153c71386da8608d1ef0e2d9d92d6d618fa9e73f35596277628affb2455500c14dc87d751d86809a6422ef3338a42048dd4937ba11abc9b5bcf9b
Ghouls'n Ghosts,,daimakaimura,World,1988-12,CAPCOM,#1P #4W #2B #platformer #cps #cps1 #mameparent,ghouls.zip,321baed3315ec62b8b82776122a641be 1275d9691bd14eeadc59d79050eb324857733bee f02f998cc4b170888dd8c3efdcd314248e282c7111a4eb648068fe36d1f6e81e 8dce88acdf7153c71386da8608d1ef0e2d9d92d6d618fa9e73f35596277628affb2455500c14dc87d751d86809a6422ef3338a42048dd4937ba11abc9b5bcf9b
Final Fight,,finalfight,Japan,1989-11-25,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightj.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,Japan,1990-01-12,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightj1.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,Japan,1990-03-05,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightj2.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,Japan,1990-04-05,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightj3.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,Japan,1990-06-13,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightj4.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,USA,1989-12-01,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightu.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,USA,1990,CAPCOM,#2P #8W #2B #coop #cps #brawler #cps1,ffightu1.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,USA,1990-01-12,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightua.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,USA,1990-04-24,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightub.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,USA,1990-06-13,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffightuc.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,World,1989-12-01,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1 #mameparent,ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Final Fight,,finalfight,World,1990-01,CAPCOM,#2P #8W #2B #coop #brawler #cps #cps1,ffighta.zip|ffight.zip,db12c617be5acffa8104e8ca3a0239d1 909cc56a8a30c946e38bcec50902b8fa9c314518 064d4cea526a6020f3df4100b46b57dbfc9a9265bfaf77d8ba893137a1fd62bc d6a577b4524c8604f24c0c0a0bd7e2dbab60005659a446dde84d71d2670433fe7a2e95c1421a301582238e05cc20adbd2f8c2962cbed030e3299c3ad41ae1a14
Ganbare! Marine Kun,がんばれ!マリン君,ganbare,Japan,2000-04-11,CAPCOM,#1P #2W #2B #redemption #cps #cps1 #mameparent,ganbare.zip,28a094676503b05bba5638ee55745b47 f0377650866ec58af6afd05e2601d17dd583cbbc d851a6179a8aa1257de60fb4c83e40e4c5399e3db4f294f29c9642daee275036 206ca7e933106a0367a59889485aeeada0a3b3aeb4f31f0862848b8238120f32aec8c958408701396a32b2b557ba13f4e8051e6ac6201ac52f47d62d7b3ec509
Gulun.Pa!,,gulunpa,Japan,1993-12-20,CAPCOM,#2P #8W #2B #vs #puzzle #cps #cps1 #prototype #mameparent,gulunpa.zip,
Ken Sei Mogura: Street Fighter II,拳聖土竜 Street Fighter II,kenseimogura,Japan,1994-04-18,CAPCOM/Togo/Sigma,#2P #0W #6B #vs #mogurataiji #cps #cps1 #mameparent,kenseim.zip,
Knights of the Round,,knightsoftheround,Japan,1991-11-27,CAPCOM,#3P #8W #2B #coop #brawler #cps #cps1,knightsja.zip|knights.zip,defb93bebb1fe6ba9afdeb454c499315 1adbe7c5435f9dccec192ba35aa08e8c0650ad95 bda01ffbf75c30d6ec2a4456d00a087cbe9dadf36e0aa8ad740a1ce118cb2c20 1e650a2bad5b3fed0846a3448ee983b832ac5dd2726ceb0a1a935d53c0d6d53628aaf9c79b46b36e86567ac3d8c67a06f7df9f1e2e620e8f1fdd12042cf6b14f
Knights of the Round,,knightsoftheround,Japan,1991-11-27,CAPCOM,#3P #8W #2B #coop #brawler #cps #cps1,knightsjb.zip|knights.zip,knightsja.zip|knights.zip,defb93bebb1fe6ba9afdeb454c499315 1adbe7c5435f9dccec192ba35aa08e8c0650ad95 bda01ffbf75c30d6ec2a4456d00a087cbe9dadf36e0aa8ad740a1ce118cb2c20 1e650a2bad5b3fed0846a3448ee983b832ac5dd2726ceb0a1a935d53c0d6d53628aaf9c79b46b36e86567ac3d8c67a06f7df9f1e2e620e8f1fdd12042cf6b14f
Knights of the Round,,knightsoftheround,USA,1991-11-27,CAPCOM,#3P #8W #2B #coop #brawler #cps #cps1,knightsu.zip|knights.zip,knightsja.zip|knights.zip,defb93bebb1fe6ba9afdeb454c499315 1adbe7c5435f9dccec192ba35aa08e8c0650ad95 bda01ffbf75c30d6ec2a4456d00a087cbe9dadf36e0aa8ad740a1ce118cb2c20 1e650a2bad5b3fed0846a3448ee983b832ac5dd2726ceb0a1a935d53c0d6d53628aaf9c79b46b36e86567ac3d8c67a06f7df9f1e2e620e8f1fdd12042cf6b14f
Knights of the Round,,knightsoftheround,World,1991-11-27,CAPCOM,#3P #8W #2B #coop #brawler #cps #cps1 #mameparent,knights.zip,knightsja.zip|knights.zip,defb93bebb1fe6ba9afdeb454c499315 1adbe7c5435f9dccec192ba35aa08e8c0650ad95 bda01ffbf75c30d6ec2a4456d00a087cbe9dadf36e0aa8ad740a1ce118cb2c20 1e650a2bad5b3fed0846a3448ee983b832ac5dd2726ceb0a1a935d53c0d6d53628aaf9c79b46b36e86567ac3d8c67a06f7df9f1e2e620e8f1fdd12042cf6b14f
Lost Worlds,,lostworlds,Japan,1988-05-13,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,lostwrldo.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Lost Worlds,,lostworlds,Japan,1988-07,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,lostwrld.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,USA,1988-05,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,forgottnu.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,USA,1988-05,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,forgottnua.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,USA,1988-05,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,forgottnuaa.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,USA,1988-05,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,forgottnuc.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,USA,1988-05,CAPCOM,#2P #8W #1B #spinner #coop #shmup #cps #cps1,forgottnue.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,World,1988-05-13,CAPCOM,#2P #8W #spinner #coop #shmup #cps #cps1,forgottna.zip|forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Forgotten Worlds,,lostworlds,World,1988-05,CAPCOM,#2P #8W #spinner #coop #shmup #cps #cps1 #mameparent,forgottn.zip,410c47d45028f36b85084e7c614e2d46 32ebaa25ad5189d05321019c728d61d7c09e8247 9181cb60bc9b3dfa5b7bc72f845778d5aa81e312c6b584d8826163e9bbd5915a 83bff54b5b17850853e4b8f3ec56fd00d2523dc10fc8fd1f4d49b7321936f2a231a686b513d3f64de77d55efad4234eb655bad17d8825d3736aa50b153c1436c
Magic Sword,,magicsword,Japan,1990-06-23,CAPCOM,#2P #8W #2B #coop #hackandslash #cps #cps1,mswordj.zip|msword.zip,0d7b70ced27b0d03572ce528e66bb910 eda0cfe04daa64ac9ee9d811bcb75694758c7c67 bb816397b11f227a56990a2ac7e23220918c94e5c8c83006ed222dd63de6c2a9 90c65b847b934cdd19597b7475a4a998625d8cf5694accac8aa8a80a66e15cc8bb6024f40e69e96002475192e29e8146006c7b3e13d5a46c9165a61165cafca1
Magic Sword: Heroic Fantasy,,magicsword,USA,1990-07-25,CAPCOM,#2P #8W #2B #coop #hackandslash #cps #cps1,mswordu.zip|msword.zip,0d7b70ced27b0d03572ce528e66bb910 eda0cfe04daa64ac9ee9d811bcb75694758c7c67 bb816397b11f227a56990a2ac7e23220918c94e5c8c83006ed222dd63de6c2a9 90c65b847b934cdd19597b7475a4a998625d8cf5694accac8aa8a80a66e15cc8bb6024f40e69e96002475192e29e8146006c7b3e13d5a46c9165a61165cafca1
Magic Sword: Heroic Fantasy,,magicsword,World,1990-06-23,CAPCOM,#2P #8W #2B #coop #hackandslash #cps #cps1,mswordr1.zip|msword.zip,0d7b70ced27b0d03572ce528e66bb910 eda0cfe04daa64ac9ee9d811bcb75694758c7c67 bb816397b11f227a56990a2ac7e23220918c94e5c8c83006ed222dd63de6c2a9 90c65b847b934cdd19597b7475a4a998625d8cf5694accac8aa8a80a66e15cc8bb6024f40e69e96002475192e29e8146006c7b3e13d5a46c9165a61165cafca1
Magic Sword: Heroic Fantasy,,magicsword,World,1990-07-25,CAPCOM,#2P #8W #2B #coop #hackandslash #cps #cps1 #mameparent,msword.zip,0d7b70ced27b0d03572ce528e66bb910 eda0cfe04daa64ac9ee9d811bcb75694758c7c67 bb816397b11f227a56990a2ac7e23220918c94e5c8c83006ed222dd63de6c2a9 90c65b847b934cdd19597b7475a4a998625d8cf5694accac8aa8a80a66e15cc8bb6024f40e69e96002475192e29e8146006c7b3e13d5a46c9165a61165cafca1
Magical Pumpkin: Puroland de Daibōken,マジカルパンプキン ピューロランドでだいぼうけん,magicalpumpkin,Japan,1996-10-31,CAPCOM/Sanrio,#1P #0W #3B #spinner #kiddieride #cps #cps1 #mameparent,mpumpkin.zip,
Nemo,,nemo,Japan,1990-11-20,CAPCOM,#1P #8W #2B #platformer #cps #cps1,nemoj.zip|nemo.zip,2653b7be2a4119d39249309014f39cbd a81f4609a1261b6ce6d5be20c12197c8e515632e 8ba6ee930d69c8de409ff1aab8dc3645baa2f2f3c0c1a8ceb5bfa99b3034ac4e 2f2f1073ec7f7af97777fcf80bfc6722ff576be99f680a407298a862fe7e711c36677c6de5a013f1bee5c915ea1ac324963e25c0d7e20eab9e0c8d55f88513a4
Nemo,,nemo,World,1990-11-09,CAPCOM,#1P #8W #2B #platformer #cps #cps1,nemor1.zip|nemo.zip,2653b7be2a4119d39249309014f39cbd a81f4609a1261b6ce6d5be20c12197c8e515632e 8ba6ee930d69c8de409ff1aab8dc3645baa2f2f3c0c1a8ceb5bfa99b3034ac4e 2f2f1073ec7f7af97777fcf80bfc6722ff576be99f680a407298a862fe7e711c36677c6de5a013f1bee5c915ea1ac324963e25c0d7e20eab9e0c8d55f88513a4
Nemo,,nemo,World,1990-11-30,CAPCOM,#1P #8W #2B #platformer #cps #cps1 #mameparent,nemo.zip,2653b7be2a4119d39249309014f39cbd a81f4609a1261b6ce6d5be20c12197c8e515632e 8ba6ee930d69c8de409ff1aab8dc3645baa2f2f3c0c1a8ceb5bfa99b3034ac4e 2f2f1073ec7f7af97777fcf80bfc6722ff576be99f680a407298a862fe7e711c36677c6de5a013f1bee5c915ea1ac324963e25c0d7e20eab9e0c8d55f88513a4
