Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Another World,Another World,anotherworld,Europe,1993-04,Interplay,Virgin,#players:1 #genre:action:puzzle #save:password #port:amiga #lang:en,8cc928edf09159401618e273028216ea,9d98d6817b3e3651837bb2692f7a2a60a608c055,0c5911c38de0cd24f155d7eeaba7aea3c21f3df88ca602881cb6dd6af69d0d5a,f113d2648d8bab69e361e2db9af33b191d1e216107a207f5085b8cb4cda6b7c500ae491f58318f5cbbd64c7edeff6480e8fb60faed6ed8df1c2fac6d1c1f1da7
Aoki Ookami to Shiroki Mejika: Genchō Hishi@蒼き狼と白き牝鹿 元朝秘史,Aoki Ookami to Shiroki Mejika: Genchō Hishi@蒼き狼と白き牝鹿 元朝秘史,aokiookamitoshirokimejikagh,Japan,1993-09-24,Koei,Koei,#players:2:vs #genre:strategy #embed:battery #save:backup #port:pc88 #lang:ja,9111580bdb40e4ac83a4c3f023b17628,0de0f798f636285da2b4d248f9894bf975b45304,bb5d6eaa1ca79ed37f80011629736f09f3d3fa2f6ec571e5444c947f2949bbc5,1696235aaf2909bbabbf4c5c09e77126c102fd0faaa2bc1fc09108fc2c3d8df5961895df70810840beed9d9cbaab1271640df28b668663e9addbe64a01acc572
Aquaduto,Aquaduto,aquaduto,Brazil,2009,Tec Toy,Tec Toy,#players:1 #genre:puzzle #reboxed:megadrive4 #lang:pt,4248a8df30fc0d2bd74f216b1b751b9f,16d7c9d7da171818d0d30d594d8158b97d5afd22,861653df0bdfc8b4131d69bd6af07f55c5fe054dcec895d850cdf3f1f35a3825,042e001b86086916494e4e8b559fea6705cb0d15c7f5a4cabf81fba4ffeafe0c3acd40db5b77ed803272ba6970093908ba482682d58e1dd216cb35f65a1807ae
Arcade Classics,Arcade Classics,arcadeclassics,Europe,1996,Al Baker & Associates,SEGA,#players:2:vs #genre:action:shooting #port:arcade:gamegear #multigame:compilation #lang:en,1c0b65d3cc82f56f7ad05ce63dc4d097,ec29aec7848dbcea6678adb4b31deba0a6ecf1e2,2b199ec75cf6473f7baa8fc2c2066af9defff19e1f197b3a10a533850ddd84e0,d83415b1ccf20aad9aac131c203f7bed526bfdf28a21640620eb22ed1f5f8b19a4da280e6e2f3312de99377da4612adb11c02114847467a0e8eb97e9d37c8cb0
Arcade Classics,Arcade Classics,arcadeclassics,USA,1996-07,Al Baker & Associates,SEGA,#players:2:vs #genre:action:shooting #port:arcade:gamegear #multigame:compilation #lang:en,1c0b65d3cc82f56f7ad05ce63dc4d097,ec29aec7848dbcea6678adb4b31deba0a6ecf1e2,2b199ec75cf6473f7baa8fc2c2066af9defff19e1f197b3a10a533850ddd84e0,d83415b1ccf20aad9aac131c203f7bed526bfdf28a21640620eb22ed1f5f8b19a4da280e6e2f3312de99377da4612adb11c02114847467a0e8eb97e9d37c8cb0
Arcade Legends: SEGA Mega Drive,Arcade Legends: SEGA Mega Drive,megadriveplaytv,Europe,2004,SEGA,SEGA Toys/Radica,#players:2:coop:vs #genre:platformer:brawler:puzzle>drop #multigame:compilation #port:arcade $sonic #lang:en,bd0fde7ef7918fcc8aa8c6504f3b6d0a,eb19fb4ba1cb61785ee990a620ddd1812999cf0d,e808e8370c12076d5c0f225a944f168ea4c2381beafb77217739ad96292774b3,42078af229f0c05c2a20c6be92e1ed09fcdc00309f2c01d0dbb330668d7ff6a443b05abca58a1a8a5d3fe4a9947119fe667697aaae99835544a67c6b36495b3d
Arcade Legends: Street Fighter II' Special Champion Edition,Arcade Legends: Street Fighter II' Special Champion Edition,megadriveplaytv3,Europe,,SEGA,SEGA Toys/Radica,#players:2:vs #genre:fighting:action #addon:6button #port:arcade #lang:en,a205d4aa13a499ab1599c39c277374aa,72ce8622949b64be1a3e90c9817942615e24d416,57de0045324192c15a3a7f6062e4845b83ebbc0607e0fca8dd4249298edda3d0,60dda3e05474fff47a19728de36e9c8fc009805e8e8c02d8d128271ff079872108267c8c3d3e41b8efb412388fde2444a26f84e6decea84db74e23796885a15f
Arch Rivals,Arch Rivals: The Arcade Game,archrivals,Europe,1992-11-12,Arc,Flying Edge,#players:2:vs #genre:sports>basketball #port:arcade #lang:en,d97ddf989c558f01a1da1f23e728f935,2bfbe4698f13ade720dbfe10cebf02fe51e5e6ef,bdebf908ba358312e71a2d5518d2e4675d7a1e6f3c91b56db561269e075afb2c,7101c2ff884d1b8b86d5f40a5cc1d07d72b792a9733d1d8cb2b78ce135931a44c7a8d54aff6392b93261dde7bcc209ee8413472476f6e2336dce6239eede536a
Arch Rivals,Arch Rivals: The Arcade Game,archrivals,USA,1992-05,Arc,Flying Edge,#players:2:vs #genre:sports>basketball #port:arcade #lang:en,d97ddf989c558f01a1da1f23e728f935,2bfbe4698f13ade720dbfe10cebf02fe51e5e6ef,bdebf908ba358312e71a2d5518d2e4675d7a1e6f3c91b56db561269e075afb2c,7101c2ff884d1b8b86d5f40a5cc1d07d72b792a9733d1d8cb2b78ce135931a44c7a8d54aff6392b93261dde7bcc209ee8413472476f6e2336dce6239eede536a
Arcus Odyssey,Arcus Odyssey@Arcus Odyssey アークス・オデッセイ,arcusodyssey,Japan,1991-06-14,Wolf Team,Wolf Team,#players:2:coop #genre:rpg>a #save:password #port:x68000 #lang:ja,607de52681638c39c080966b3c7d7f51,8e1a9a9f9ba50bca0a377bd8f795b7c9c1275815,159847500525240f4922fc3f8fc50fd0fc102f490c72ddf5bebbef258251024d,ca562af5f72249cac3986ee38ed60bf7fee29630f799411147d977f9f8203578401adc07663fd99ca5ad3ba8789c5220dcfb00a1aedb427dd5a62b0d4b455717
