Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Terra Cresta II: Mandoler no Gyakushū@Terra Cresta II マンドラーの逆襲,Terra Cresta II: Mandoler no Gyakushū@Terra Cresta II テラクレスタII マンドラーの逆襲,terracresta2mng,Japan,1992-11-27,Nichibutsu,Nihon Bussan,#players:1 #genre:shmup>v #lang:en,64716e1013c5230e25f0249d8e641d5b,c58d3ea8df6cb518349d431d6b3d6fd2c14898ec,aff5f6531cd9e82f066941ee3c9f7daf79b0a4413b90322d203de6fbe7f57ca9,7b25741e1ac4cfaa5b0f7a736f4163c13c513b8a762a86c467de05de897ddfad481c283e0eba5b4e0f7449d265bb15e924dfae820ca1f20d43bba3ef8d21e156
The Kung Fu@The 功夫 クンフー,The Kung Fu@The 功夫,thekungfu,Japan,1987-11-21,Hudson,Hudson,#players:1 #genre:brawler #lang:ja,b6f712b2ab6726a80a0e328f58d9e1b2,dabdb21bef771282461f7bfee390a622217159ac,3dd08ada517555dbf001492c72ebfcc5ef31de35b84d6aec2903e2dd70115257,5d9ead658dbf43d4d8ecf1367aafcd73a518cd8b4b1e639215ae9b14a82bb192e603e2cf0d305f49a8074c118c8d8f86079e83c366db02ab14088f0f1056401c
The NewZealand Story,The NewZealand Story@The NewZealand Story ニュージーランドストーリー,thenewzealandstory,Japan,1990-02-23,Taito,Taito,#players:1 #genre:platformer #port:arcade #lang:en,553dd0a65c0d060290f66c820ca94b1c,cda9acea9cae4899af35b6c49b9ed449c240af16,ab3b28423a2f0f3bd15b6f39f389d81313ccb8fa7f369af84a0ccf69f6222ed3,00c9c790c3433bd440205983efceaafbbe18312dcb6bdce04a73f5a7062068acfd881accf1075c158de384db7f11787134348b713f80f23daf0cd69ec75faf1c
The Ninja Warriors,The Ninja Warriors,theninjawarriors,Japan,1989-06-30,Taito,Taito,#players:1 #genre:hackandslash #port:arcade #lang:ja,cd67ad6c5e69636c63d5cda218471738,27f30fa4eb12856bd21279e96d1764bba531432f,d0a3443e0a491e00c10d079228a420efecd24193fc61840a95fe49ceb2725c9e,5361a3090deea7c60d2d3dbca7ac85d72a058b77246e6830e50263d75e33eb93eb2a36adf8b243d3832b088208be7403a05222d4c8368966173d8b424dea117c
The Tower of Druaga,The Tower of Druaga: Druaga no Tō@The Tower of Druaga ドルアーガの塔,thetowerofdruaga,Japan,1992-06-25,Game Studio,NAMCOT,#players:1 #genre:maze #save:password #port:arcade #lang:ja,df4fa7ddc1a4e8cc29dc67e700b2a55a,1d34d947d9dfd4d7a3e1a0dda789645cd8c4ac29,822eaccbe575211c1022d8ff823c36a54e240c7072479e84c4b02d438bba5a19,4cfa38979c093872ddf89f83757e4cafdcc021b6607944a4d48a78e3c7d3e5402b2410ea07907bf4cb8514e11063c42b6522c79b77c0fc1d93eb3e0d619fe140
Thunder Blade,Thunder Blade@Thunder Blade サンダーブレード,thunderblade,Japan,1990-12-07,NEC Avenue,NEC Avenue,#players:1 #genre:railshooter:shmup>v #port:arcade #lang:en,b4bf32b4d986fa5f53115c3f361a8679,553f8026dd68e85cd17855adbf920b3971acfdc4,f7c761aa5068badc6a52a473cad76993a699f04efcc6ec38e5c0d932d79f9366,c4bbef3e2a4a6aa5ae64915a4bc92de3c68a74c2a51bba4c3220c6f5eea561f31925168f01ece445ef5d13150e21f19bcdc86f1343c33a88211647a4614c9ba5
Time Cruise II,Time Cruise II@Time Cruise II タイムクルーズII,timecruise2,Japan,1991-11-08,Sankindo,Face,#players:1 #genre:pinball #lang:en,fac1e4b316c405a0477341b3fc22ec08,84bf83124a77ff67aaa0ea3f34ad9edbb755454d,70b97f459faeb09be4e7f6c546bb7d173561fcdf505764e23e7a25605056f541,e7c075cfb4fbd54a8e85d1d97ac8b68bf0900d9da870b4a29c2a3bed0bcc38cb75f0e577ba2ab43388539c016dbfbee73906b6d703e2dd56e8a0fb31454e0cc3
Titan,Titan,titan,Japan,1991-03-15,Titus/Naxat,Titus,#players:1 #genre:blockbreaker:puzzle #save:password #lang:en,a9f182b617533d24200b4e39b2b311ad,7d12a65453c8d3d539104904a9a1eb9e429f9ab4,7d83395c8ccc97f82d1befead829439532de7306ad0fd0ee02f1629f72a1677f,9f9c0c77ec8c40fa96a523e85a5612c93a42502dd0464977407cfce2da204c32349d9294c84fb182e0b1e9990edf6966954d921c471be640319f0a8e402e00d1
Toilet Kids@トイレキッズ,Toilet Kids@トイレキッズ Toilet Kids,toiletkids,Japan,1992-03-06,Bits Laboratory,Media Rings,#players:2:coop #genre:shmup #addon:pcemultitap #lang:ja,7759f9e0a001483ae1fa2ea2a186e4c1,1148ec489899928592212ceac61c83cbc67751cb,ce989fa1024eda5d8808fd9019e03a3099380e24606c1dfd81c1f8c72cd85b4d,70613e60f8f3300018a2f996377f3875a417e62cfea0b7e88381ff2d006b69f593d71bf57ebe546fb82f46147f84bfee1e1578d25fc08b65d3f7d4e6d12e77d4
Tora e no Michi@虎への道 Tiger Road,Tora e no Michi@虎への道,toraenomichi,Japan,1990-02-23,Victor,Victor,#players:1 #genre:hackandslash #addon:tennokoe #save:backup #port:arcade #lang:ja,e29c489f69b1fcbd37937fa4d31f9d0c,ea66f8c1be62e853b72f93a3a1e3b597356ae62f,b571229a96f9453b73eca2f4fb7eab38ccafa03fb3c03eb9368f2cb487532844,0ba93a38ed109d4b05b6994c9a07bc647c383aff1f822c5740462803350c9ce0efb0fb67a75d18058f373a25c16725586944eedb9b1a6297033efbab8da03069
Toshi Tensō Keikaku: Eternal City@都市転送計画 Eternal City,Eternal City: Toshi Tensō Keikaku@Eternal City 都市転送計画エターナルシティ,toushitensoukeikakueternalcity,Japan,1991-04-12,Naxat,Naxat,#players:1 #genre:runandgun:shmup>h #save:password #lang:en,07c06f305051862e381589d43978b1e9,61e9102c02f87af87bd2e0b75093c01e12cf4801,0fa201812e851ce9065966b8c4a0db76956c5b73f17b70f7f0985e97491e0a35,b0a144225a713a7339f8ca265c0c959d83e9f7742064a03f9f067a475a2c3d409e2124a429818d07205e389316df338d44412b57586f9a8197e5b214e43efa17
Toy Shop Boys,Toy Shop Boys@Toy Shop Boys トイショップボーイズ,toyshopboys,Japan,1990-12-14,Mutech,Victor,#players:2:alt #genre:shmup>v #lang:en,982f85207499ecd6530fcd6e18e2061c,d552223399ff54c3664a5a06fc620ffb717cea57,c6cb14a104fa4861169664986260d8d3992a141452be3d84fc1b0ad4db874132,ded14db1db247f6a2445330c48e21770013bd1751d03a298d20fbdce95d44d265075812b7c2474ba87bc121d7006b134f81cb605625daa4d02a50f5210b0ce5d
Tricky@トリッキー Tricky,Tricky@トリッキー Tricky,tricky,Japan,1991-07-06,Alfa System,IGS,#players:1 #genre:puzzle #save:password #lang:ja,afd88ae448d851e58bade33abe3a4a47,009e0ea4203bab968cea3cd9428c633ce2c5c26e,22bcc5f49d847344beb696b0adec681b00bccd03d30df1a317de0db6fb3a5269,32b07520d60cfc11448a05196d1dbfa6307fe8038defb09117a045bb14590a3ddc054ec5b7ff025e0098061a3f240998e290de17f4efa40b8fbb4a32816b1b1e
