Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Gambler Jiko Chūshinha 2: Gekitō! Tokyo Mahjongland Hen@ぎゅわんぶらあ自己中心派2　激闘! 東京マージャンランド編,Gambler Jiko Chūshinha 2: Gekitō! Tokyo Mahjongland Hen@ぎゅわんぶらあ自己中心派2　激闘! 東京マージャンランド編,gamblerjikochuushinsha2gtmh,Japan,1992-12-18,Yellow Horn,Game Arts,#players:1 #genre:boards>mahjong:adventure #addon:megacd:backupramcart #save:backup #based:manganime #lang:ja
Game no Kanzume Vol. 1@ゲームのかんづめ Vol. 1,Game no Kanzume: SEGA Games Can Vol. 1@ゲームのかんづめ　SEGA Games Can Vol.1,gamenokanzume1,Japan,1994-03-18,SEGA,SEGA,#players:2:vs #genre:action:platformer:puzzle:adventure #addon:megacd #port:megadrive #multigame:compilation #lang:ja
Game no Kanzume Vol. 2@ゲームのかんづめ Vol. 2,Game no Kanzume: SEGA Games Can Vol. 2@ゲームのかんづめ　SEGA Games Can Vol.2,gamenokanzume2,Japan,1994-03-18,SEGA,SEGA,#players:2:vs #genre:action:platformer:puzzle:adventure #addon:megacd #port:megadrive #multigame:compilation #lang:ja
Garō Densetsu Special@餓狼伝説 Special,Garō Densetsu Special@餓狼伝説 Special がろうでんせつスペシャル,garoudensetsuspecial,Japan,1995-03-31,Funcom,Victor,#players:2:vs #genre:fighting #addon:megacd:6button #port:arcade #lang:ja
Gen'ei Toshi@幻影都市,Gen'ei Toshi: Illusion City@幻影都市　Illusion City,geneitoshi,Japan,1993-05-28,Aisystem Tokyo/Arrow,Micro Cabin,#players:1 #genre:rpg>j #addon:megacd:backupramcart #save:backup #port:msx #lang:ja
Ground Zero Texas,Ground Zero Texas,groundzerotexas,Europe,1994-02-18,Digital Pictures,Sony Imagesoft,#players:1 #genre:shooting #addon:megacd #disc:1>2 #lang:en
Ground Zero Texas,Ground Zero Texas,groundzerotexas,Europe,1994-02-18,Digital Pictures,Sony Imagesoft,#players:1 #genre:shooting #addon:megacd #disc:2>2 #lang:en
Ground Zero Texas,Ground Zero Texas,groundzerotexas,USA,1993-11,Digital Pictures,Sony Imagesoft,#players:1 #genre:shooting #addon:megacd #disc:1>2 #lang:en
Ground Zero Texas,Ground Zero Texas,groundzerotexas,USA,1993-11,Digital Pictures,Sony Imagesoft,#players:1 #genre:shooting #addon:megacd #disc:2>2 #lang:en
Ground Zero Texas,Ground Zero Texas,groundzerotexas,USA,1993-11,Digital Pictures,Sony Imagesoft,#players:1 #genre:shooting #addon:megacd #disc:2>2 #lang:en #alt
Heart of the Alien: Out of This World Part II,Heart of the Alien: Out of This World Parts I and II,heartofthealien,USA,1994-07,Interplay/Delphine,Virgin,#players:1 #genre:action #addon:megacd #save:password #port:amiga #multigame:compilation #lang:en
Heavy Nova,Heavy Nova,heavynova,Japan,1991-12-12,Micronet,Micronet,#players:2:vs #genre:action:fighting #addon:megacd #port:x68000 #lang:en
Heimdall,Heimdall@Heimdall ハイムドール,heimdall,Japan,1994-03-18,The 8th Day,Victor,#players:1 #genre:rpg #addon:megacd:backupramcart #save:backup #port:amiga #lang:ja
Heimdall,Heimdall,heimdall,USA,1994-04,The 8th Day,JVC,#players:1 #genre:rpg #addon:megacd:backupramcart #save:backup #port:amiga #lang:en
Hook,Hook,hook,Europe,1993-11-19,Core Design,Sony Imagesoft,#players:1 #genre:platformer #addon:megacd #based:movie #port:superfamicom #lang:en
Hook,Hook,hook,USA,1993-08,Core Design,Sony Imagesoft,#players:1 #genre:platformer #addon:megacd #based:movie #port:superfamicom #lang:en
Hook,3 Ninjas Kick Back / Hook Bundle,hook,USA,,Core Design,Sony Imagesoft,#players:1 #genre:platformer #addon:megacd #based:movie #port:superfamicom #multigame:compilation #lang:en #alt
Iron Helix,Iron Helix,ironhelix,USA,1994-09,Brian A. Rice,Spectrum Holobyte,#players:1 #genre:adventure:survivalhorror #addon:megacd #save:backup #port:pc #lang:en
Ishii Hisaichi no Daiseikai@いしいひさいちの大政界,Ishii Hisaichi no Daiseikai@いしいひさいちの大政界,ishiihisaichinodaiseikai,Japan,1994-01-28,G-Sat/T's Music,SEGA,#players:1 #genre:strategy #addon:megacd:backupramcart #save:backup #based:manganime #lang:ja
Jaguar XJ220,Jaguar XJ220,jaguarxj220,Europe,1993-09,Core Design,SEGA,#players:2:vs #genre:racing #addon:megacd:backupramcart #save:backup #port:amiga #endorsed:company #lang:en:ja
Jaguar XJ220,Jaguar XJ220,jaguarxj220,Japan,1993-03-26,Core Design,Victor,#players:2:vs #genre:racing #addon:megacd:backupramcart #save:backup #port:amiga #endorsed:company #lang:en:ja
Jaguar XJ220,Jaguar XJ220,jaguarxj220,USA,1993-04,Core Design,JVC,#players:2:vs #genre:racing #addon:megacd:backupramcart #save:backup #port:amiga #endorsed:company #lang:en
Jangō World Cup@雀豪ワールドカップ,Jangō World Cup@雀豪ワールドカップ,jangouworldcup,Japan,1993-08-27,Victor,Victor,#players:1 #genre:board>mahjong:shmup #addon:megacd:backupramcart #save:backup #lang:ja
Jeopardy!,Jeopardy!,jeopardycd,USA,1994-11,Absolute,Sony Imagesoft,#players:3:vs #genre:quiz:board #addon:megacd:segatap #based #lang:en
Joe Montana's NFL Football,Joe Montana's NFL Football,joemontanasnflfootball,USA,1993-10,Malibu,SEGA,#players:2:vs #genre:sports>football #addon:megacd #endorsed:celeb #official:sports #lang:en
Joe Montana's NFL Football,Joe Montana's NFL Football (SEGA Sports System),joemontanasnflfootball,USA,,Malibu,SEGA,#players:2:vs #genre:sports>football #addon:megacd #endorsed:celeb #official:sports #lang:en
Johnny Mnemonic,Johnny Mnemonic,johnnymnemonic,USA,2012,Sony Imagesoft,Good Deal,#players:1 #genre:adventure #addon:megacd #disc:1>2 #based:movie #port:pc #lang:en #unlicensed
Johnny Mnemonic,Johnny Mnemonic,johnnymnemonic,USA,2012,Sony Imagesoft,Good Deal,#players:1 #genre:adventure #addon:megacd #disc:2>2 #based:movie #port:pc #lang:en #unlicensed
Jurassic Park,Jurassic Park,jurassicparkcd,Europe,1994-02,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #lang:en
Jurassic Park,Jurassic Park,jurassicparkcd,Europe,,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #reboxed #lang:en
Jurassic Park,Jurassic Park,jurassicparkcd,France,1994-02,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #lang:fr
Jurassic Park,Jurassic Park,jurassicparkcd,Germany,1994-02,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #lang:de
Jurassic Park,Jurassic Park,jurassicparkcd,Spain,1994-02,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #lang:es
Jurassic Park,Jurassic Park@Jurassic Park ジュラシック・パーク,jurassicparkcd,Japan,1994-09-30,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #lang:ja
Jurassic Park,Jurassic Park,jurassicparkcd,USA,1993-12,SEGA Multimedia,SEGA,#players:1 #genre:adventure:pointandclick:educational #addon:megacd:backupramcart #save:backup #based:movie $jurassicpark #endorsed:celeb #lang:en
Kamen Rider ZO@仮面ライダーZO,Kamen Rider ZO@仮面ライダーZO,kamenriderzo,Japan,1994-05-13,Wolf Team,Toei,#players:1 #genre:action:adventure #addon:megacd #based:movie #lang:ja
Keio Flying Squadron@慶応遊撃隊 Keio Flying Squadron,Keio Flying Squadron@Keio Flying Squadron 慶応遊撃隊,keiouyuugekitai,Europe,1994-10,Victor,JVC,#players:1 #genre:shmup>h #addon:megacd #lang:en
Keio Flying Squadron@慶応遊撃隊 Keio Flying Squadron,Keio Flying Squadron@Keio Flying Squadron 慶応遊撃隊,keiouyuugekitai,Europe,,Victor,JVC,#players:1 #genre:shmup>h #addon:megacd #lang:en #unfinished:demo
Keio Flying Squadron@慶応遊撃隊 Keio Flying Squadron,Keio Flying Squadron@Keio Flying Squadron 慶応遊撃隊,keiouyuugekitai,USA,1995-02,Victor,JVC,#players:1 #genre:shmup>h #addon:megacd #lang:en
Keiō Yūgekitai@慶応遊撃隊,Keiō Yūgekitai@慶応遊撃隊,keiouyuugekitai,Japan,1993-08-06,Victor,Victor,#players:1 #genre:shmup>h #addon:megacd #lang:ja
Keiō Yūgekitai@慶応遊撃隊,Keiō Yūgekitai (Kira Kira Lucky Takarabako)@慶応遊撃隊 (キラキラ★ラッキー宝箱),keiouyuugekitai,Japan,1993-08-06,Victor,Victor,#players:1 #genre:shmup>h #addon:megacd #reboxed #promo #lang:ja
Kids on Site,Kids on Site,kidsonsite,Europe,1994,Digital Pictures,Digital Pictures,#players:1 #genre:adventure #addon:megacd #lang:en
Kids on Site,Kids on Site,kidsonsite,USA,1994-11,Digital Pictures,Digital Pictures,#players:1 #genre:adventure #addon:megacd #lang:en
Lethal Enforcers,Lethal Enforcers,lethalenforcers,Europe,1993-11-19,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en
Lethal Enforcers,Lethal Enforcers@Lethal Enforcers リーサルエンフォーサーズ,lethalenforcers,Japan,1993-10-29,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en
Lethal Enforcers,Lethal Enforcers (Famitsu-ban)@Lethal Enforcers リーサルエンフォーサーズ (ファミ通版),lethalenforcers,Japan,,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #promo #lang:en
Lethal Enforcers,Lethal Enforcers,lethalenforcers,USA,1993-11,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en
Lethal Enforcers,Lethal Enforcers,lethalenforcers,USA,1993-11,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en #alt
Lethal Enforcers II: Gun Fighters,Lethal Enforcers II: Gun Fighters,lethalenforcers2thewestern,Europe,1994-12-23,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en
Lethal Enforcers II: Gun Fighters,Lethal Enforcers II: Gun Fighters,lethalenforcers2thewestern,Europe,,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en #unfinished:demo
Lethal Enforcers II: Gun Fighters,Lethal Enforcers II: Gun Fighters,lethalenforcers2thewestern,Europe,,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en #unfinished:beta
Lethal Enforcers II: Gun Fighters,Lethal Enforcers II: Gun Fighters,lethalenforcers2thewestern,USA,1994-11-24,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en
Lethal Enforcers II: The Western,Lethal Enforcers II: The Western@Lethal Enforcers II: The Western リーサルエンフォーサーズII　ザ・ウエスタン,lethalenforcers2thewestern,Japan,1994-11-25,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #lang:en
Lethal Enforcers II: The Western,Lethal Enforcers II: The Western (Including The Justifier)@Lethal Enforcers II: The Western リーサルエンフォーサーズII　ザ・ウエスタン (Including The Justifier),lethalenforcers2thewestern,Japan,1994-11-25,Konami,Konami,#players:2:coop #genre:shooting #addon:megacd:justifier $lightgun #port:arcade #reboxed #lang:en
Pier Solar and the Great Architects: Enhanced Soundtrack Disc,Pier Solar and the Great Architects: The Definitive Original Soundtrack@Pier Solar and the Great Architects ピエアーソーラーと偉大なる建築家 The Definitive Original Soundtrack,piersolarandthegreatarchitects,World,2012,WaterMelon,WaterMelon,#players:1 #genre:sound:rpg>j #addon:megacd #lang:en #unlicensed:aftermarket
Revengers of Vengeance,Revengers of Vengeance,battlefantasy,USA,1994-07,Micronet,Extreme,#players:2:vs #genre:fighting #addon:megacd #lang:en
Robo Aleste,Robo Aleste,denninalestenobunagaandhisninjaforce,Europe,1993-09,Compile,SEGA,#players:1 #genre:shmup>v #addon:megacd #lang:en
Robo Aleste,Robo Aleste,denninalestenobunagaandhisninjaforce,USA,1993-08,Compile,Tengen,#players:1 #genre:shmup>v #addon:megacd #lang:en
Sensible Soccer,Sensible Soccer,sensiblesoccer,Europe,1994-07,Psygnosis,Renegade/Sony Imagesoft,#players:2:vs #genre:sports>soccer #addon:megacd #port:amiga #lang:en:fr:de:it
Sensible Soccer,Sensible Soccer,sensiblesoccer,Europe,,Psygnosis,Renegade/Sony Imagesoft,#players:2:vs #genre:sports>soccer #addon:megacd #port:amiga #lang:en #unfinished:demo
Shadow of the Beast II,Beast II,shadowofthebeast2,Europe,1994-05,Digital Developments,Psygnosis,#players:1 #genre:action #addon:megacd #port:amiga #lang:en
Shadow of the Beast II,Beast II,shadowofthebeast2,Europe,,Digital Developments,Psygnosis,#players:1 #genre:action #addon:megacd #port:amiga #lang:en #unfinished:demo
Shadow of the Beast II,Shadow of the Beast II,shadowofthebeast2,USA,1994,Digital Developments,Psygnosis,#players:1 #genre:action #addon:megacd #port:amiga #lang:en
Shadow of the Beast II,Shadow of the Beast II: Jūshin no Jubaku@Shadow of the Beast II シャドー・オブ・ザ・ビーストII　獣神の呪縛,shadowofthebeast2,Japan,1994-07-29,Digital Developments,Victor,#players:1 #genre:action #addon:megacd #port:amiga #lang:ja
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,Europe,1993-10,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,Europe,1993-08-06,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:beta>1
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,Europe,1993-08-19,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:beta>2
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,USA,1993-11-23,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,USA,1993-11-23,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #alt:1
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,USA,1993-11-23,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #alt:2
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,USA,1993-09-20,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:beta>1
Sonic The Hedgehog CD,Sonic CD,sonicthehedgehogcd,USA,1993-10-13,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:beta>2
Sonic The Hedgehog CD,Sonic The Hedgehog CD,sonicthehedgehogcd,Japan,1993-09-23,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en
Sonic The Hedgehog CD,Sonic The Hedgehog CD,sonicthehedgehogcd,Japan,1993-08-06,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:demo
Sonic The Hedgehog CD,Sonic The Hedgehog CD,sonicthehedgehogcd,Japan,1993-07-12,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:beta>4
Sonic The Hedgehog CD,Sonic The Hedgehog CD,sonicthehedgehogcd,Japan,1993-08-01,SEGA CS3/SEGA CS1/Sonic Team/HIC,SEGA,#players:1 #genre:platformer #addon:megacd:backupramcart #save:backup $sonic #lang:en #unfinished:beta>5
The Exterminators,Bug Blasters: The Exterminators,bugblasterstheexterminators,USA,2001,Digital Pictures,Good Deal,#players:1 #genre:shooting #addon:megacd #lang:en #unlicensed
The Masked Rider: Kamen Rider ZO,The Masked Rider: Kamen Rider ZO,kamenriderzo,USA,1994-12,Wolf Team,SEGA,#players:1 #genre:action:adventure #addon:megacd #based:movie #lang:en
Thunder Storm FX,Thunder Storm FX,thunderstorm,Japan,1992-08-28,Wolf Team,Wolf Team,#players:1 #genre:shooting #addon:megacd #port:arcade #lang:ja
Thunderhawk,Thunderhawk,thunderhawk,Europe,1993-10,Core Design,Core Design,#players:1 #genre:flightsim:shooting #addon:megacd:backupramcart #save:backup #lang:en:fr:de:es
Thunderhawk,Thunderhawk,thunderhawk,Europe,,Core Design,Core Design,#players:1 #genre:flightsim:shooting #addon:megacd:backupramcart #save:backup #lang:en:fr:de:es #unfinished:demo>1
Thunderhawk,Thunderhawk,thunderhawk,Europe,,Core Design,Core Design,#players:1 #genre:flightsim:shooting #addon:megacd:backupramcart #save:backup #lang:en:fr:de:es #unfinished:demo>2
Thunderhawk,Thunderhawk@Thunderhawk サンダーホーク,thunderhawk,Japan,1993-09-17,Core Design,Victor,#players:1 #genre:flightsim:shooting #addon:megacd:backupramcart #save:backup #lang:ja
Thunderhawk,Thunderhawk Taikeiban@Thunderhawk サンダーホーク 体験版,thunderhawk,Japan,1993,Core Design,Victor,#players:1 #genre:flightsim:shooting #addon:megacd:backupramcart #save:backup #lang:ja #unfinished:demo
