Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Chuck II: Son of Chuck,Chuck Rock II: Son of Chuck,chuckrock2soc,Europe,1994-01,Core Design,Core Design,#players:1 #genre:platformer:action #addon:megacd #port:amiga:megadrive #lang:en
Chuck II: Son of Chuck,Chuck Rock II: Son of Chuck,chuckrock2soc,USA,1993,Core Design,Virgin,#players:1 #genre:platformer:action #addon:megacd #port:amiga:megadrive #lang:en
Citizen X,Citizen X,citizenx,USA,2002,Digital Pictures,Good Deal,#players:1 #genre:action:adventure #addon:megacd #lang:en #unlicensed
Cliffhanger,Cliffhanger,cliffhanger,USA,1993-11,Malibu,Sony Imagesoft,#players:1 #genre:brawler:sports>snowboarding #addon:megacd #port:megadrive #based:movie #lang:en
Cobra Command,Sol-Feace / Cobra Command,thunderstorm,Europe,1993,Wolf Team,SEGA,#players:1 #genre:shooting #addon:megacd #port:arcade #lang:en
Cobra Command,Cobra Command,thunderstorm,USA,1992-11,Wolf Team,SEGA,#players:1 #genre:shooting #addon:megacd #port:arcade #lang:en
Compton's Interactive Encyclopedia,Compton's Interactive Encyclopedia: Edition 1995,comptonsinterativeencyclopedia,USA,1994,Compton's NewMedia,Compton's NewMedia,#players:1 #genre:application:educational #addon:megacd #port:pc #lang:en
Compton's Interactive Encyclopedia,Compton's Interactive Encyclopedia,comptonsinterativeencyclopedia,USA,1994,Compton's NewMedia,Compton's NewMedia,#players:1 #genre:application:educational #addon:megacd #port:pc #reboxed:xeye #lang:en
Compton's Interactive Encyclopedia,Compton's Interactive Encyclopedia,comptonsinterativeencyclopedia,USA,,Compton's NewMedia,Compton's NewMedia,#players:1 #genre:application:educational #addon:megacd #port:pc #reboxed:xeye #lang:en #rev:1
Compton's Interactive Encyclopedia,Compton's Interactive Encyclopedia,comptonsinterativeencyclopedia,USA,,Compton's NewMedia,Compton's NewMedia,#players:1 #genre:application:educational #addon:megacd #port:pc #reboxed:xeye #lang:en #rev:2
Corpse Killer,Corpse Killer,corpsekiller,Europe,1995-03,Digital Pictures,Digital Pictures,#players:1 #genre:shooting #addon:megacd:menacer $lightgun #lang:en
Corpse Killer,Corpse Killer,corpsekiller,Europe,1995-07,Digital Pictures,Digital Pictures,#players:1 #genre:shooting #addon:megacd:super32x:menacer $lightgun #lang:en
Corpse Killer,Corpse Killer,corpsekiller,USA,1994-11,Digital Pictures,Digital Pictures,#players:1 #genre:shooting #addon:megacd:menacer $lightgun #lang:en
Corpse Killer,Corpse Killer,corpsekiller,USA,1995,Digital Pictures,Digital Pictures,#players:1 #genre:shooting #addon:megacd:super32x:menacer $lightgun #lang:en
