Title,Title (exact),Title screen,Title screen (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Haunted Castle,=,Haunted Castle,=,akumajoudraculaac,World,1988-09-22,Konami,Konami,#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:konami #search:franchise>castlevania:feature>dracula #set:1 #lang:en #mamerom:hcastle>hcastlee,bac9a8c3e9dbb5360ec41d925f301330,5e8115eba71f7686f8c9b483be7f4d7692435633,514dcd35f91981c9e7dca6196c5310e5a33bad39c6ff8b4118ac63246646fa7e,2a12afeecf48ecfb9cab8242f037a437cf89d53bf42ebfa115e381398a7b4c26875ab70845e6d5703cdd35b30146088045aa3ed60dae3045fb5be8887adc942a
Haunted Castle,=,Haunted Castle,=,akumajoudraculaac,World,1988-09,Konami,Konami,#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:konami #search:franchise>castlevania:feature>dracula #set:2 #lang:en #mamerom:hcastle>hcastlek,bac9a8c3e9dbb5360ec41d925f301330,5e8115eba71f7686f8c9b483be7f4d7692435633,514dcd35f91981c9e7dca6196c5310e5a33bad39c6ff8b4118ac63246646fa7e,2a12afeecf48ecfb9cab8242f037a437cf89d53bf42ebfa115e381398a7b4c26875ab70845e6d5703cdd35b30146088045aa3ed60dae3045fb5be8887adc942a
Haunted Castle,=,Haunted Castle,=,akumajoudraculaac,World,1988-09,Konami,Konami,#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:konami #search:franchise>castlevania:feature>dracula #set:3 #lang:en #mameparent #mamerom:hcastle,bac9a8c3e9dbb5360ec41d925f301330,5e8115eba71f7686f8c9b483be7f4d7692435633,514dcd35f91981c9e7dca6196c5310e5a33bad39c6ff8b4118ac63246646fa7e,2a12afeecf48ecfb9cab8242f037a437cf89d53bf42ebfa115e381398a7b4c26875ab70845e6d5703cdd35b30146088045aa3ed60dae3045fb5be8887adc942a
Aliens,Aliens エイリアンズ,Aliens,=,aliens,Japan,1990-03-22,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #set:1 #lang:en #mamerom:aliens>aliensj,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,Aliens エイリアンズ,Aliens,=,aliens,Japan,1990,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #set:2 #lang:en #mamerom:aliens>aliensj2,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,=,Aliens,=,aliens,USA,1990-03,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #lang:en #mamerom:aliens>aliensu,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,=,Aliens,=,aliens,World,1990-01,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #set:1 #lang:en #mameparent #mamerom:aliens,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,=,Aliens,=,aliens,World,1990,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #set:2 #lang:en #mamerom:aliens>aliens2,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,=,Aliens,=,aliens,World,1990,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #set:3 #lang:en #mamerom:aliens>aliens3,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,=,Aliens,=,aliens,World,1990,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #set:4 #lang:en #mamerom:aliens>aliens4,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Aliens,=,Aliens,=,aliens,Asia,1990,Konami,Konami,#input:joystick>8:buttons>2 #players:2:coop #genre:action>runandgun:shooting>tps:brawler #arcadeboard:konami #based:movie #search:feature>alien #lang:en #mamerom:aliens>aliensa,67ef25d8171207e786546ce5c7474fa4,fb17bb2ab2566fd9362d718db12240294cdc1d7e,bf1f11d3543ba730bfdc5fb92f757e848d022f732525d84358396f6c6a57abae,2acd1f6bc6e7670a980fa7449d0d8984a847a4c3a29b10b358b0c5bd3d0b001ca4538f6a1db9f6766268271ebfe07d23b3b5ce7a670019850a053ee19b048a44
Amidar,=,Amidar,=,amidar,Japan,1981-10,Konami,Konami,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:1 #lang:en #mamerom:amidar>amidar1,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amidar,=,Amidar,=,amidar,Japan,1982-04-30,Konami,Konami,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #set:2 #lang:en #mameparent #mamerom:amidar,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
Amidar,=,Amidar,=,amidar,Japan,1982,Konami,Konami,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:konami #search:tate>cw #lang:en #mamerom:amidar>amidars,bb7641477dc9e5c5221c42ce111a9e68,d9a92dc68b81734397a98c42b36eb8221cd21877,233e4a08697311e0da95ecb0ae076921e7b04a37abd109a7a021d98a1372ece2,c2c1404da06854aa93007df406d60a2beb375fd24028c967f36933d7ed57c2c2be7a1f13045733a149d3aa7b119a9e1d2e4be5d9cc74cc520f50f6b752750442
